Genre,Year,nGames
Role-Playing    ,1996,76
Shooter         ,1996,146
Simulation      ,1996,67
Sports          ,1996,164
Strategy        ,1996,94
Action          ,1997,77
Action-Adventure,1997,2
Adventure       ,1997,90
Fighting        ,1997,71
Misc            ,1997,125
Platform        ,1997,44
Puzzle          ,1997,48
Racing          ,1997,80
Role-Playing    ,1997,75
Shooter         ,1997,117
Simulation      ,1997,76
Sports          ,1997,124
Strategy        ,1997,101
Action          ,1998,85
Action-Adventure,1998,2
Adventure       ,1998,110
Fighting        ,1998,69
Misc            ,1998,140
Platform        ,1998,45
Puzzle          ,1998,37
Racing          ,1998,88
Role-Playing    ,1998,90
Shooter         ,1998,77
Simulation      ,1998,76
Sports          ,1998,133
Strategy        ,1998,141
Visual Novel    ,1998,1
Action          ,1999,111
Adventure       ,1999,111
Fighting        ,1999,59
Misc            ,1999,174
Platform        ,1999,70
Puzzle          ,1999,72
Racing          ,1999,120
Role-Playing    ,1999,112
Shooter         ,1999,75
Simulation      ,1999,85
Sports          ,1999,157
Strategy        ,1999,138
Visual Novel    ,1999,1
Action          ,2000,179
Action-Adventure,2000,1
Adventure       ,2000,154
Fighting        ,2000,72
Misc            ,2000,175
Music           ,2000,1
Platform        ,2000,74
Puzzle          ,2000,80
Racing          ,2000,173
Role-Playing    ,2000,131
Shooter         ,2000,76
Simulation      ,2000,96
Sports          ,2000,218
Strategy        ,2000,131
Action          ,2001,179
Action-Adventure,2001,1
Adventure       ,2001,162
Education       ,2001,1
Fighting        ,2001,44
Misc            ,2001,167
MMO             ,2001,1
Party           ,2001,2
Platform        ,2001,81
Puzzle          ,2001,58
Racing          ,2001,135
Role-Playing    ,2001,145
Sandbox         ,2001,1
Shooter         ,2001,93
Simulation      ,2001,78
Sports          ,2001,214
Strategy        ,2001,131
Action          ,2002,194
Action-Adventure,2002,1
Adventure       ,2002,166
Fighting        ,2002,78
Misc            ,2002,174
Party           ,2002,2
Platform        ,2002,104
Puzzle          ,2002,59
Racing          ,2002,160
Role-Playing    ,2002,127
Shooter         ,2002,149
Simulation      ,2002,79
Sports          ,2002,317
Strategy        ,2002,126
Action          ,2003,204
Action-Adventure,2003,4
Adventure       ,2003,180
Fighting        ,2003,70
Misc            ,2003,184
Platform        ,2003,112
Puzzle          ,2003,56
Racing          ,2003,188
Role-Playing    ,2003,143
Shooter         ,2003,147
Simulation      ,2003,89
Sports          ,2003,228
Strategy        ,2003,133
Action          ,2004,199
Action-Adventure,2004,3
Adventure       ,2004,221
Fighting        ,2004,65
Misc            ,2004,190
MMO             ,2004,2
Party           ,2004,1
Platform        ,2004,99
Puzzle          ,2004,48
Racing          ,2004,101
Role-Playing    ,2004,121
Shooter         ,2004,180
Simulation      ,2004,68
Sports          ,2004,186
Strategy        ,2004,125
Visual Novel    ,2004,2
Action          ,2005,284
Action-Adventure,2005,2
Adventure       ,2005,161
Fighting        ,2005,71
Misc            ,2005,241
Music           ,2005,1
Party           ,2005,4
Platform        ,2005,114
Puzzle          ,2005,66
Racing          ,2005,136
Role-Playing    ,2005,155
Shooter         ,2005,187
Simulation      ,2005,73
Sports          ,2005,198
Strategy        ,2005,127
Visual Novel    ,2005,1
Action          ,2006,301
Action-Adventure,2006,1
Adventure       ,2006,222
Fighting        ,2006,77
Misc            ,2006,267
Music           ,2006,1
Party           ,2006,2
Platform        ,2006,117
Puzzle          ,2006,119
Racing          ,2006,172
