year,state_abbr,population,violent_crime,homicide,robbery,aggravated_assault,property_crime,burglary,larceny,motor_vehicle_theft
1983,OH,10746000,42759,600,17132,21640,441362,124179,280156,37027
1984,OH,10752000,41430,551,15656,21489,418011,112887,266148,38976
1985,OH,10744000,41000,554,14301,22179,408882,104920,266066,37896
1986,OH,10752000,45260,595,15283,25231,423387,106212,276779,40396
1987,OH,10784000,45436,630,16511,23990,447964,114580,292093,41291
1988,OH,10872000,49144,585,17546,26381,455890,112130,300355,43405
1989,OH,10907000,51109,652,18635,26950,465143,111057,306609,47477
1990,OH,10847115,54904,663,20451,28715,470469,106575,310673,53221
1991,OH,10939000,61460,783,23536,31393,489100,115423,318933,54744
1992,OH,11016000,57935,724,21925,29547,456017,104357,299774,51886
1993,OH,11091000,55915,667,21373,28431,441550,97394,295880,48276
1994,OH,11102000,53930,662,20821,27216,441380,96175,297792,47413
1995,OH,11151000,53799,600,19931,28433,437424,93539,297624,46261
1996,OH,11173000,47896,538,18336,24405,449935,93336,311071,45528
1997,OH,11186000,48706,523,17755,25862,455799,94972,315908,45419
1998,OH,11209000,40628,443,14960,20682,444438,90805,310612,43021
1999,OH,11256654,35616,397,14405,16685,414264,87023,288049,39192
2000,OH,11353140,37935,418,15610,17636,420939,88636,293277,39026
2001,OH,11389785,40023,452,17199,17906,435115,96910,295976,42229
2002,OH,11408699,40128,526,17871,16922,428976,99164,287045,42767
2003,OH,11437680,38185,526,16895,16104,417483,95083,281383,41017
2004,OH,11450143,38787,506,17429,16108,419337,96518,282168,40651
2005,OH,11470685,40162,590,18673,16228,420705,100183,279051,41471
2006,OH,11478006,41491,560,19418,16743,423334,105639,279718,37977
2007,OH,11466917,40759,529,18351,17218,397681,99049,264677,33955
2008,OH,11485910,40436,547,18706,16652,391667,102428,260788,28451
2009,OH,11542645,38305,527,17670,15989,376446,104009,249777,22660
2010,OH,11537968,36306,479,16486,15611,376836,107125,248581,21130
2011,OH,11541007,35218,500,15991,15048,380572,112901,246744,20927
2012,OH,11553031,34827,478,15396,15140,370435,105312,245372,19751
2013,OH,11572005,33722,478,14483,14370,338414,91090,227799,19525
2014,OH,11596998,33130,464,12780,14658,322517,79466,224942,18109
2015,OH,11605090,34373,522,12617,15793,303743,69994,216354,17395
2016,OH,11622554,35759,683,12574,16748,300945,67081,214102,19762
2017,OH,11664129,34621,741,11224,16823,280557,57521,202320,20716
2018,OH,11689442,32723,564,9185,17674,254496,48186,186401,19909
1979,OK,2892000,11719,281,2966,7519,124293,42646,69292,12355
1980,OK,3001252,12589,299,3147,8055,139061,50802,75649,12610
1981,OK,3098000,13223,279,3574,8279,136637,49220,74460,12957
1982,OK,3177000,14103,344,4218,8361,151814,50956,85326,15532
1983,OK,3298000,13964,249,4245,8223,148599,49782,84085,14732
1984,OK,3298000,13438,258,3668,8197,147917,47979,84844,15094
1985,OK,3301000,13930,254,3526,8898,165150,53216,93233,18701
1986,OK,3305000,14423,269,3521,9431,184342,59054,103832,21456
1987,OK,3272000,13664,244,3583,8664,183495,58333,105369,19793
1988,OK,3263000,14179,243,3428,9279,168194,53624,96418,18152
1989,OK,3224000,15847,210,4070,10358,161558,50411,92270,18877
1990,OK,3145585,17222,253,3836,11654,158889,45531,94432,18926
1991,OK,3175000,18533,230,4094,12594,161449,46934,96842,17673
1992,OK,3212000,20005,210,4376,13863,154459,43678,94180,16601
1993,OK,3231000,20512,273,3935,14712,150546,39903,95111,15532
1994,OK,3258000,21225,226,4174,15209,160250,40764,104025,15461
1995,OK,3278000,21770,400,3788,16121,161693,41694,103727,16272
1996,OK,3301000,19710,223,3519,14423,166892,41447,109506,15939
1997,OK,3317000,18560,229,3446,13368,163698,40015,109039,14644
1998,OK,3347000,18053,204,3078,13258,149426,38268,97593,13565
1999,OK,3358044,17066,231,2785,12675,140220,34472,93616,12132
2000,OK,3450654,17177,182,2615,12958,140125,31661,96116,12348
2001,OK,3469577,17726,185,2746,13309,141679,34573,94537,12569
2002,OK,3489700,17587,163,2966,12885,148128,35171,100185,12772
2003,OK,3506469,17758,206,3224,12827,151208,34846,103404,12958
2004,OK,3523546,17635,186,3090,12802,149472,35244,101271,12957
2005,OK,3543442,18044,187,3230,13146,143406,35692,93814,13900
2006,OK,3579212,17905,210,3145,13062,129728,34437,81853,13438
2007,OK,3617316,18234,224,3392,13053,128714,34367,80747,13600
2008,OK,3642361,19359,215,3698,13975,126535,35247,80265,11023
2009,OK,3687050,18560,234,3358,13433,132350,38071,83813,10466
2010,OK,3760184,18100,195,3345,13091,129464,37848,81303,10313
2011,OK,3784163,17311,212,3288,12401,127618,36462,80064,11092
2012,OK,3815780,18102,220,3248,13012,130969,36094,83131,11744
2013,OK,3853118,17187,198,3023,11652,126418,33512,81624,11282
2014,OK,3879610,16052,180,3073,10937,117445,29963,76719,10763
2015,OK,3907414,16746,240,3018,11535,114055,28783,74678,10594
2016,OK,3921207,17855,247,3174,12334,118010,29376,76358,12276
2017,OK,3932640,17989,243,3007,12519,113611,28749,72546,12316
2018,OK,3943079,18380,206,2791,13084,113364,26858,73217,13289
1979,OR,2527000,13781,107,3299,9254,147264,40682,96823,9759
1980,OR,2610477,12802,132,3978,7608,161759,45641,106712,9406
1981,OR,2647000,12671,117,4780,6669,173596,52067,112518,9011
1982,OR,2649000,12529,136,4433,6903,161444,47410,106061,7973
1983,OR,2662000,12986,109,4533,7266,153412,46472,98880,8060
1984,OR,2674000,13533,128,4508,7696,153423,48755,96742,7926
1985,OR,2687000,14807,125,4986,8333,166023,50690,105725,9608
1986,OR,2698000,14830,178,5555,7718,176207,53062,112312,10833
1987,OR,2724000,14697,153,5338,7959,175138,48562,113907,12669
1988,OR,2741000,14959,139,5289,8420,178520,48355,113872,16293
1989,OR,2820000,14625,134,4282,8895,159119,40197,103690,15232
1990,OR,2842321,14405,108,4102,8863,146073,32273,100765,13035
1991,OR,2922000,14795,133,4387,8714,153370,34363,105145,13862
1992,OR,2977000,15189,139,4507,8963,158100,32945,109274,15881
1993,OR,3032000,15254,140,3930,9630,159558,31072,110878,17608
1994,OR,3086000,16067,150,4264,10320,178240,33970,122506,21764
1995,OR,3141000,16408,129,4332,10638,189765,34640,133075,22050
1996,OR,3204000,14837,129,3914,9522,177295,31664,128618,17013
1997,OR,3243000,14412,95,3811,9200,188916,33507,136129,19280
1998,OR,3282000,13778,126,3452,8893,171545,30442,123841,17262
1999,OR,3316154,12432,88,2858,8267,153434,26749,113052,13633
2000,OR,3421399,12000,70,2888,7756,153780,25618,114230,13932
2001,OR,3473441,10650,84,2749,6643,164524,26648,123034,14842
2002,OR,3520355,10298,72,2742,6246,161145,25696,118925,16524
2003,OR,3564330,10506,68,2847,6373,169863,28562,122327,18974
2004,OR,3591363,10724,90,2751,6600,166475,30072,117868,18535
2005,OR,3638871,10444,80,2478,6620,160199,27621,113316,19262
2006,OR,3700758,10534,88,2711,6516,137858,24324,98897,14637
2007,OR,3747455,11015,76,2864,6799,132773,22979,95157,14637
2008,OR,3790060,9909,87,2656,5983,125169,21115,92677,11377
2009,OR,3825657,9968,88,2499,6179,114780,19739,85064,9977
2010,OR,3838332,9648,96,2421,5892,116657,20035,87494,9128
2011,OR,3868229,9643,84,2237,6083,121869,20704,92059,9106
2012,OR,3899801,9638,91,2419,5969,126417,22051,94114,10252
2013,OR,3928068,9536,82,2394,5596,125083,20808,94363,9912
2014,OR,3971202,10294,84,2270,6320,123142,18690,94177,10275
2015,OR,4024634,10680,110,2163,6757,119752,18541,90514,10697
2016,OR,4085989,10983,116,2307,6776,121716,16919,91507,13290
2017,OR,4146592,11629,105,2474,7058,122524,17415,88091,17018
2018,OR,4190713,11966,82,2549,7360,121278,16304,88418,16556
1979,PA,11731000,39133,724,17855,18021,370914,109668,215567,45679
1980,PA,11824220,43032,809,21039,18462,398761,122800,226496,49465
1981,PA,11864000,44104,729,22137,18576,392872,122372,226701,43799
1982,PA,11865000,42767,678,20806,18835,366903,106867,220623,39413
1983,PA,11895000,40782,583,20501,17249,339321,96425,205408,37488
1984,PA,11901000,38154,538,17656,17196,325960,88517,196999,40444
1985,PA,11853000,39240,550,17429,18375,320788,87417,194467,38904
1986,PA,11889000,42629,659,18085,20901,326149,87362,196657,42130
1987,PA,11936000,44087,642,17241,23074,333476,86177,205619,41680
1988,PA,12027000,43534,660,16607,23275,338486,83791,203362,51333
1989,PA,12040000,45586,753,18025,23845,359008,85925,216566,56517
1990,PA,11881643,51213,801,20930,26414,361805,86624,215119,60062
1991,PA,11961000,53824,758,23191,26440,371814,86074,228142,57598
1992,PA,12009000,51276,746,21701,25505,356155,75834,224150,56171
1993,PA,12048000,50295,823,21563,24714,343841,70125,220683,53033
1994,PA,12052000,51425,712,22497,25071,342901,66468,222280,54153
1995,PA,12072000,51586,755,22858,24927,354623,67815,236991,49817
1996,PA,12056000,57905,686,22784,31401,370851,71357,250758,48736
1997,PA,12020000,53140,705,18788,30358,359323,68218,246892,44213
1998,PA,12001000,50470,633,19787,26827,342318,63777,235873,42668
1999,PA,11994016,50431,592,18670,27890,323021,56037,227750,39234
2000,PA,12281054,51584,602,18155,29580,316274,54080,225869,36325
2001,PA,12303104,50432,651,17500,28814,313408,54345,223350,35713
2002,PA,12328827,49578,624,17163,28060,300868,55610,212441,32817
2003,PA,12370761,49210,647,17980,27027,300639,53918,213279,33442
2004,PA,12394471,50998,650,18474,28339,299611,54443,214199,30969
2005,PA,12405348,52761,756,19214,29205,300444,56134,214916,29394
2006,PA,12440621,55028,741,21095,29581,304589,57739,217142,29708
2007,PA,12432792,51806,725,19440,28198,293850,56091,211248,26511
2008,PA,12448279,51044,705,18873,27981,300294,58687,219115,22492
2009,PA,12604767,48188,664,17504,26394,277182,54772,204588,17822
2010,PA,12717722,46612,653,16375,26112,276366,55206,204440,16720
2011,PA,12743948,46189,639,16165,26046,283442,57966,208604,16872
2012,PA,12764475,45384,707,15735,25571,276562,57040,204409,15113
2013,PA,12781296,42825,611,14739,23680,263176,52000,197410,13766
2014,PA,12793767,40298,610,13545,22304,246982,45718,188211,13053
2015,PA,12791904,40348,665,12965,22419,231941,39573,180236,12132
2016,PA,12787085,40389,674,12314,22942,222394,35178,174147,13069
2017,PA,12790447,40030,742,11777,23295,210316,31925,165434,12957
2018,PA,12807060,39192,784,9848,24077,190816,27104,150596,13116
1979,RI,929000,3485,30,1019,2295,50114,14400,28347,7367
1980,RI,945835,3864,42,1122,2538,52249,16233,28037,7979
1981,RI,952000,4205,40,1257,2738,51504,15755,27525,8224
1982,RI,958000,3849,35,1099,2529,47539,13414,27077,7048
1983,RI,955000,3392,26,1078,2128,44410,12722,25463,6225
1984,RI,962000,3220,33,1091,1891,42706,11396,24654,6656
1985,RI,968000,3355,35,1122,1945,42368,11929,24119,6320
1986,RI,975000,3271,34,1157,1871,44528,12616,25041,6871
1987,RI,986000,3547,35,1062,2209,48568,14208,26635,7725
1988,RI,995000,3947,41,1146,2457,47837,12550,27049,8238
1989,RI,998000,3772,49,1122,2335,48372,12045,27104,9223
1990,RI,1003464,4334,48,1224,2814,49378,12755,27046,9577
1991,RI,1004000,4638,37,1234,3057,45957,11320,26664,7973
1992,RI,1005000,3965,36,950,2668,42044,10529,24052,7463
1993,RI,1000000,4017,39,1011,2681,40973,10409,24101,6463
1994,RI,997000,3744,41,870,2560,37323,9101,23039,5183
1995,RI,990000,3643,33,914,2429,38378,9234,24780,4364
1996,RI,990000,3437,25,824,2301,36099,8135,23367,4597
1997,RI,987000,3292,25,707,2197,32777,7083,21499,4195
1998,RI,988000,3084,24,659,2050,31672,6452,21391,3829
1999,RI,990819,2840,36,788,1625,32657,6341,22284,4032
2000,RI,1048319,3121,45,922,1742,33323,6620,22038,4665
2001,RI,1059659,3278,39,986,1837,35742,6824,23875,5043
2002,RI,1068326,3051,41,916,1699,35342,6415,24051,4876
2003,RI,1076084,3074,25,830,1714,32231,5524,22320,4387
2004,RI,1079916,2673,26,731,1596,31166,5465,21623,4078
2005,RI,1073579,2710,34,776,1577,29287,5319,19567,4401
2006,RI,1067610,2460,27,740,1404,27914,5453,18852,3609
2007,RI,1057832,2424,19,760,1387,27576,5206,19175,3195
2008,RI,1050788,2656,31,880,1463,29895,5766,20926,3203
2009,RI,1053209,2678,32,785,1565,27558,5753,19403,2402
2010,RI,1052528,2709,29,782,1600,26959,6124,18432,2403
2011,RI,1050646,2586,20,744,1503,27976,6836,18765,2375
2012,RI,1050304,2657,26,715,1614,27039,5929,18478,2632
2013,RI,1053354,2710,31,683,1547,25741,5621,17881,2239
2014,RI,1054907,2320,26,530,1398,22982,4830,16317,1835
2015,RI,1055607,2565,31,547,1520,20038,3938,14714,1386
2016,RI,1057566,2529,29,541,1514,18910,3650,14157,1103
2017,RI,1056486,2474,21,474,1525,18585,3219,13882,1484
2018,RI,1057315,2317,16,454,1366,17561,2810,13220,1531
1979,SC,2932000,19889,368,3156,15359,128651,44160,75807,8684
1980,SC,3064557,20225,348,3620,15109,146461,51177,85905,9379
1981,SC,3166000,20275,330,3805,14992,148127,50520,88887,8720
1982,SC,3203000,23061,348,3921,17550,148657,47752,92009,8896
1983,SC,3264000,20133,321,3425,15243,135590,42263,85501,7826
1984,SC,3300000,20607,305,3408,15565,133270,40646,84753,7871
1985,SC,3347000,21121,304,3143,16289,140892,41955,90260,8677
1986,SC,3378000,22789,291,3361,17742,150752,45276,96132,9344
1987,SC,3425000,22773,318,3463,17495,154021,46511,97892,9618
1988,SC,3493000,25889,325,4357,19714,163164,49467,103055,10642
1989,SC,3512000,28576,320,4574,22050,168772,48914,107845,12013
1990,SC,3486703,34050,390,5313,26474,176729,48132,115144,13453
1991,SC,3560000,34621,402,6092,26029,185359,51793,119784,13782
1992,SC,3603000,34029,373,6148,25436,178298,49669,116186,12443
1993,SC,3643000,37281,377,6825,28174,177779,47695,117553,12531
1994,SC,3664000,37756,353,6817,28595,182114,46678,122252,13184
1995,SC,3673000,36067,292,6461,27577,186656,46083,126416,14157
1996,SC,3699000,36875,332,6361,28361,192986,47487,129650,15849
1997,SC,3760000,37235,314,6624,28460,193402,46322,131325,15755
1998,SC,3836000,34647,306,5943,26645,186960,44600,126412,15948
1999,SC,3885736,32920,258,5760,25315,173987,39630,119912,14445
2000,SC,4012012,33225,291,6220,25054,181290,40319,125385,15586
2001,SC,4062125,33114,330,5987,25028,186054,42611,126742,16701
2002,SC,4103770,33761,298,5774,25730,183808,43745,123196,16867
2003,SC,4148744,33455,303,5801,25399,187592,43993,127809,15790
2004,SC,4197892,33160,286,5468,25634,190456,43739,130991,15726
2005,SC,4246933,32590,314,5657,24757,185606,42741,126489,16376
2006,SC,4321249,33322,362,5902,25224,184712,42952,125075,16685
2007,SC,4407709,34630,364,6354,26139,189304,45398,126802,17104
2008,SC,4479800,32746,307,6595,24158,189950,45964,126316,17670
2009,SC,4561242,30799,305,5753,23078,178310,45443,119250,13617
2010,SC,4637106,27923,265,5017,21090,181098,46261,121544,13293
2011,SC,4673348,27894,320,4631,21265,183243,47351,122255,13637
2012,SC,4723417,26474,332,4511,19919,181049,45222,122340,13487
2013,SC,4771929,24263,305,3965,17760,173261,40930,119730,12601
2014,SC,4829160,24038,322,4018,17513,168281,37163,118173,12945
2015,SC,4894834,24448,407,3950,17652,162830,34942,114778,13110
2016,SC,4959822,25137,358,4071,18217,161534,33149,114455,13930
2017,SC,5021219,25412,380,3884,18572,160368,31165,114931,14272
2018,SC,5084127,24825,392,3553,18446,153421,29473,109616,14332
1979,SD,689000,1096,14,140,829,19297,4316,13782,1199
1980,SD,688217,873,5,138,644,21447,4766,15521,1160
1981,SD,685000,718,12,122,505,19922,4348,14587,987
1982,SD,691000,684,19,118,468,17592,3885,12889,818
1983,SD,700000,840,15,111,595,16993,3820,12453,720
1984,SD,706000,1041,13,105,733,17403,3529,13102,772
1985,SD,708000,967,13,121,665,17730,3867,13142,721
1986,SD,708000,883,28,115,615,18346,3919,13728,699
1987,SD,709000,849,13,87,603,18138,3787,13673,678
1988,SD,715000,813,22,87,512,17641,3703,13255,683
1989,SD,715000,969,9,84,647,18230,3394,14057,779
1990,SD,696004,1133,14,86,794,19116,3671,14678,767
1991,SD,703000,1281,12,132,858,20366,4146,15412,808
1992,SD,711000,1383,4,120,891,19939,3849,15371,719
1993,SD,715000,1490,24,107,1041,19661,3927,14915,819
1994,SD,721000,1641,10,135,1193,20726,3938,15916,872
1995,SD,729000,1513,13,189,1012,20799,3942,15976,881
1996,SD,732000,1297,9,138,850,20443,4077,15532,834
1997,SD,738000,1457,10,172,918,22491,4088,17545,858
1998,SD,738000,1139,10,149,722,18227,3458,14006,763
1999,SD,733133,1227,18,103,770,18159,3255,14043,861
2000,SD,754844,1259,7,131,816,16252,2896,12558,798
2001,SD,758324,1171,7,103,710,16473,3087,12571,815
2002,SD,760437,1350,11,117,861,15992,3034,12139,819
2003,SD,764905,1329,10,104,859,15324,2878,11572,874
2004,SD,770621,1319,17,112,854,14885,3148,10890,847
2005,SD,774883,1387,18,145,847,13694,2505,10350,839
2006,SD,781919,2071,30,158,1418,13812,3024,9954,834
2007,SD,796214,1926,31,118,1344,13829,2647,10398,784
2008,SD,804194,2227,37,134,1494,13867,2683,10266,918
2009,SD,812383,1777,30,117,1129,14378,2621,10891,866
2010,SD,816598,2196,23,154,1634,15188,3192,11196,800
2011,SD,823593,2105,20,167,1415,15299,2927,11423,949
2012,SD,834047,2701,23,157,1921,17326,3280,12973,1073
2013,SD,845510,2733,18,156,2052,16274,3383,11955,936
2014,SD,853304,2801,23,199,2101,16036,2817,12209,1010
2015,SD,857919,3302,33,215,2554,16739,2969,12576,1194
2016,SD,861542,3636,28,274,2808,17207,3002,12705,1500
2017,SD,873286,3753,27,264,2887,16588,2835,12285,1468
2018,SD,882235,3570,12,262,2682,15251,2571,11156,1524
1979,TN,4380000,18135,430,7277,8917,157651,56710,84850,16091
1980,TN,4545590,20824,489,8208,10427,183632,68251,98876,16505
1981,TN,4610000,19019,448,7916,8920,179737,63811,100526,15400
1982,TN,4651000,19586,452,8173,9310,185692,59934,110316,15442
1983,TN,4685000,18836,410,8094,8650,169110,56498,97785,14827
1984,TN,4717000,21010,394,7867,10862,162462,53002,92176,17284
1985,TN,4762000,22592,429,8614,11522,175827,55563,97159,23105
1986,TN,4803000,25919,501,9978,13184,191861,63649,102103,26109
1987,TN,4855000,25900,444,9409,13914,200616,65632,107459,27525
1988,TN,4919000,26205,461,8537,15006,193647,60894,106052,26701
1989,TN,4940000,27118,417,7926,16505,195854,59621,109908,26325
1990,TN,4877185,32698,511,9325,20447,213648,61646,124127,27875
1991,TN,4953000,35955,547,10543,22566,229856,67608,131855,30393
1992,TN,5024000,37487,520,10964,23626,220534,63665,127934,28935
1993,TN,5099000,39047,521,11224,24758,228117,60299,137683,30135
1994,TN,5175000,38705,482,10735,24943,226247,59080,138173,28994
1995,TN,5256000,40549,557,11732,25783,241315,60086,147143,34086
1996,TN,5320000,41175,503,11902,26295,248729,61896,152405,34428
1997,TN,5368000,42389,511,11487,27335,253484,62899,156843,33742
1998,TN,5431000,38832,460,9667,26220,234588,58432,148057,28099
1999,TN,5483535,38111,391,8598,26707,219302,51362,142685,25255
2000,TN,5689283,40233,410,9465,28172,237985,56344,154111,27530
2001,TN,5749398,42776,423,10219,29938,252992,59705,165015,28272
2002,TN,5789796,41562,420,9413,29439,249399,61248,161610,26541
2003,TN,5845208,40409,396,9413,28471,256565,63323,166769,26473
2004,TN,5893298,41113,357,8863,29611,254991,60386,169828,24777
2005,TN,5955745,45104,431,10009,32470,256093,61508,169357,25228
2006,TN,6038803,46043,419,11143,32287,249860,63024,164183,22653
2007,TN,6156719,46482,405,11033,32843,252342,61817,168807,21718
2008,TN,6214888,44913,412,10804,31619,251089,65093,166793,19203
2009,TN,6296254,41933,468,9653,29793,237157,63832,158309,15016
2010,TN,6357436,38909,359,8361,28016,232855,64293,153729,14833
2011,TN,6399787,38895,380,8082,28338,230900,62830,153928,14142
2012,TN,6454914,41213,400,8151,30615,217925,56231,148731,12963
2013,TN,6497269,38063,335,7333,27895,207683,51334,144443,11906
2014,TN,6547779,39989,369,7268,29757,200911,46798,141464,12649
2015,TN,6595056,40816,418,7499,30098,196047,43753,139259,13035
2016,TN,6649404,42459,495,7829,31332,191199,40607,135353,15239
2017,TN,6708794,43940,538,7867,32507,198028,38819,140636,18573
2018,TN,6770010,42226,498,7190,31717,191279,33132,137708,20439
1979,TX,13385000,67988,2235,25667,34043,725109,239758,412515,72836
1980,TX,14169829,77978,2392,29547,39339,792480,262600,450792,79088
1981,TX,14755000,78560,2446,28528,40765,814163,275978,454879,83306
1982,TX,15280000,88178,2466,33618,45278,874799,285967,501727,87105
1983,TX,15724000,80546,2239,29769,42205,848312,262198,503582,82532
1984,TX,15989000,80737,2093,28540,42761,883391,266074,529518,87799
1985,TX,16370000,90030,2132,31680,47854,985265,289825,595912,99528
1986,TX,16682000,109925,2258,40021,59039,1125897,341747,665029,119121
1987,TX,16789000,105961,1959,38053,57881,1190558,355597,711594,123367
1988,TX,16780000,109499,2022,39301,60057,1235870,361972,739642,134256
1989,TX,16991000,111889,2029,37913,63996,1234977,342346,741660,150971
1990,TX,16986510,129343,2389,44297,73907,1200151,314512,731224,154415
1991,TX,17349000,145743,2652,49700,84125,1210784,312693,734261,163830
1992,TX,17656000,142369,2239,44588,86105,1103779,268928,689780,145071
1993,TX,18031000,137419,2147,40469,84881,1023612,233913,664862,124837
1994,TX,18378000,129838,2022,37643,81071,949387,214687,623947,110753
1995,TX,18724000,124303,1693,33667,80380,940033,202642,632468,104923
1996,TX,19128000,123270,1477,32804,80613,968732,204390,659414,104928
1997,TX,19439000,117126,1327,30522,77266,948231,201059,645451,101721
1998,TX,19760000,111566,1346,28677,73630,898496,194883,606967,96646
1999,TX,20044141,112306,1217,29405,74070,896261,190362,613862,92037
2000,TX,20851820,113653,1238,30257,74302,919658,188975,637522,93161
2001,TX,21370983,122155,1332,35348,77306,976654,204362,669625,102667
2002,TX,21736925,126018,1302,37580,78628,1004274,212602,688992,102680
2003,TX,22103374,122246,1422,37017,75782,1016735,219877,698644,98214
2004,TX,22471549,121554,1364,35817,75985,1010702,220118,696507,94077
2005,TX,22928508,121091,1407,35790,75383,990293,219828,677042,93423
2006,TX,23507783,121602,1386,37256,74531,959846,215710,648711,95425
2007,TX,23904380,122014,1419,38778,73357,985421,228320,663101,94000
2008,TX,24326974,123585,1370,37739,76421,969865,230046,654435,85384
2009,TX,24782302,121684,1330,38022,74021,995082,240058,678455,76569
2010,TX,25253466,113231,1249,32843,71517,951246,228597,654626,68023
2011,TX,25631778,104734,1130,28620,67498,892810,215755,613131,63924
2012,TX,26060796,106475,1148,30385,67227,876459,205002,606425,65032
2013,TX,26505637,108757,1140,31810,65351,862289,191062,605440,65787
2014,TX,26979078,109711,1192,31021,65862,813515,168085,577018,68412
2015,TX,27429639,113193,1317,31924,67629,779234,153067,558653,67514
2016,TX,27904862,121064,1478,33298,72842,769892,148796,552106,68990
2017,TX,28322717,123984,1405,32120,75923,723143,133458,521767,67918
2018,TX,28701845,117927,1322,28256,73656,679430,117911,491702,69817
1979,UT,1367000,4158,66,1062,2649,70918,16115,50216,4587
1980,UT,1458729,4425,55,1170,2796,81357,19283,57354,4720
1981,UT,1516000,4527,50,1286,2760,82643,19326,58855,4462
1982,UT,1554000,4440,53,1344,2674,78451,17202,57341,3908
1983,UT,1619000,4144,56,1041,2644,78715,16446,58453,3816
1984,UT,1652000,4035,47,958,2694,74703,14176,56782,3745
1985,UT,1645000,4398,50,908,3059,83072,15511,63668,3893
1986,UT,1665000,4441,53,976,2991,86774,15233,67825,3716
1987,UT,1680000,3861,55,887,2554,90532,15975,71038,3519
1988,UT,1691000,4110,47,915,2749,90223,14898,71677,3648
1989,UT,1707000,4417,45,898,2985,92577,15311,73210,4056
1990,UT,1722850,4892,52,980,3209,92620,15172,73352,4096
1991,UT,1770000,5077,52,976,3241,94178,14872,75041,4265
1992,UT,1813000,5267,54,1014,3376,97322,16045,76964,4313
1993,UT,1860000,5599,58,1090,3622,91816,14708,72603,4505
1994,UT,1908000,5810,56,1213,3735,95332,15089,74554,5689
1995,UT,1951000,6415,76,1309,4196,112417,15623,89202,7592
1996,UT,2000000,6638,63,1377,4362,113079,16965,87542,8572
1997,UT,2059000,6878,50,1408,4443,116569,18335,89090,9144
1998,UT,2100000,6599,65,1385,4274,109025,17070,84255,7700
1999,UT,2129836,5869,44,1158,3861,100130,14592,78156,7382
2000,UT,2233169,5711,43,1242,3563,94247,14348,73438,6461
2001,UT,2278712,5314,67,1197,3154,90993,13804,70676,6513
2002,UT,2318789,5488,47,1140,3358,97641,15124,74795,7722
2003,UT,2352119,5889,60,1258,3652,100084,16961,75321,7802
2004,UT,2420708,5647,46,1236,3398,97762,15225,74889,7648
2005,UT,2490334,5612,56,1095,3541,95546,14971,72082,8493
2006,UT,2550063,5771,51,1242,3587,89572,14721,66480,8371
2007,UT,2645330,6347,59,1425,3928,93082,15594,68573,8915
2008,UT,2736424,6165,41,1421,3788,92373,14766,70299,7308
2009,UT,2784572,5998,39,1304,3714,91751,15258,69556,6937
2010,UT,2775479,5925,53,1269,3620,88316,15095,67242,5979
2011,UT,2814347,5547,50,1079,3517,84084,13170,64727,6187
2012,UT,2854871,5939,52,1105,3807,86284,13095,67157,6032
2013,UT,2902787,6644,51,1247,3824,88334,13727,67115,7492
2014,UT,2944498,6464,66,1313,3538,85473,11656,66487,7330
2015,UT,2990632,7138,57,1329,4048,89797,12606,68464,8727
2016,UT,3044321,7406,74,1528,4244,90561,12938,68261,9362
2017,UT,3103118,7515,74,1498,4185,86201,11780,64955,9466
2018,UT,3161105,7368,60,1236,4319,75156,9968,57460,7728
1979,VA,5197000,15642,447,5799,7989,211014,56265,141923,12826
1980,VA,5323412,16355,459,6392,8046,229587,64020,153437,12130
1981,VA,5426000,17456,464,7229,8285,235984,63350,161678,10956
1982,VA,5491000,16970,405,6708,8491,216713,53457,153148,10108
1983,VA,5550000,16236,387,6132,8347,203632,51055,142714,9863
1984,VA,5636000,16660,434,5765,8958,196581,47436,138808,10337
1985,VA,5706000,16813,405,5720,9137,198821,44797,142800,11224
1986,VA,5787000,17708,411,6118,9646,205658,47021,145935,12702
1987,VA,5904000,17414,437,6244,9196,216354,47642,153690,15022
1988,VA,5996000,17940,468,6748,9102,232496,49069,165343,18084
1989,VA,6098000,19057,480,6494,10445,237757,46156,172645,18956
1990,VA,6187358,21694,545,7626,11608,253063,45236,187564,20263
1991,VA,6286000,23459,583,8651,12346,266160,49224,195652,21284
1992,VA,6377000,23907,564,8787,12548,250211,45217,185506,19488
1993,VA,6491000,24160,539,9216,12322,242975,43338,181104,18533
1994,VA,6552000,23437,571,8704,12294,241763,41855,181619,18289
1995,VA,6618000,23921,503,8718,12901,240084,39388,181333,19363
1996,VA,6675000,22782,500,8181,12318,242100,39255,184237,18608
1997,VA,6734000,23249,488,8384,12558,237773,38475,180406,18892
1998,VA,6791000,22115,422,7171,12712,226461,38094,170012,18355
1999,VA,6872912,21626,392,6947,12567,210260,32411,159896,17953
2000,VA,7078515,19943,401,6295,11631,194405,30434,146158,17813
2001,VA,7196750,20939,364,6860,11945,207506,31604,157060,18842
2002,VA,7287829,21256,388,6961,12068,207783,31757,157548,18478
2003,VA,7365284,20490,416,6713,11554,200449,29105,153367,17977
2004,VA,7481332,20608,390,6899,11503,200368,28759,154154,17455
2005,VA,7564327,21434,458,7495,11718,200404,29829,154584,15991
2006,VA,7642884,21683,403,7779,11672,190257,32166,143292,14799
2007,VA,7712091,21035,415,7696,11131,191763,32028,145634,14101
2008,VA,7769089,20031,370,7470,10397,196726,32188,151191,13347
