"name","state_abbr","Year","population","violent_crime","homicide","robbery","aggravated_assault","property_crime","burglary","larceny","motor_vehicle_theft","mass_shootings"
Alaska        ,AK,2009           ,698473,4424,22,654,3235,20538,3600,15251,1687,0
Alaska        ,AK,2010           ,714146,4537,31,594,3379,20259,3105,15535,1619,0
Alaska        ,AK,2011           ,723860,4416,30,576,3374,19094,2852,14854,1388,0
Alaska        ,AK,2012           ,730307,4412,30,630,3169,20037,2950,15565,1522,0
Alaska        ,AK,2013           ,737259,4709,34,623,3127,21211,2917,16599,1695,0
Alaska        ,AK,2014           ,737046,4684,41,629,3243,20334,3150,15445,1739,0
Alaska        ,AK,2015           ,737709,5391,59,761,3671,20806,3511,15249,2046,0
Alaska        ,AK,2016           ,741522,5966,52,850,4011,24876,4053,17766,3057,0
Alabama       ,AL,1979           ,3769000,15578,496,4127,9918,144372,48517,83791,12064,0
Alabama       ,AL,1980           ,3861466,17320,509,5102,10551,173191,58952,102029,12210,0
Alabama       ,AL,1981           ,3916000,18423,465,4952,11985,173411,56811,105471,11129,0
Alabama       ,AL,1982           ,3943000,17653,417,4417,11793,165048,49531,104740,10777,0
Alabama       ,AL,1983           ,3959000,16471,364,3895,11281,145890,42485,94279,9126,0
Alabama       ,AL,1984           ,3990000,17204,374,3833,11995,138487,39970,89198,9319,0
Alabama       ,AL,1985           ,4021000,18398,396,4237,12686,140115,41612,88108,10395,0
Alabama       ,AL,1986           ,4053000,22616,409,4523,16534,151191,46974,93396,10821,0
Alabama       ,AL,1987           ,4083000,22833,380,4581,16735,158918,48927,99260,10731,0
Alabama       ,AL,1988           ,4127000,23052,408,4860,16556,165209,50920,103282,11007,0
Alabama       ,AL,1989           ,4118000,24329,421,5515,17117,166244,47224,106771,12249,0
Alabama       ,AL,1990           ,4040587,28630,467,5805,21039,169974,44585,111336,14053,0
Alabama       ,AL,1991           ,4089000,34518,469,6246,26348,184882,51873,118151,14858,0
Alabama       ,AL,1992           ,4136000,36052,455,6819,27074,181837,49053,117801,14983,0
Alabama       ,AL,1993           ,4187000,32676,484,6677,24044,171598,45578,111878,14142,0
Alabama       ,AL,1994           ,4219000,28844,501,7223,19633,178015,44064,119951,14000,0
Alabama       ,AL,1995           ,4253000,26894,475,7900,17169,179294,43586,120967,14741,0
Alabama       ,AL,1996           ,4273000,24159,444,7124,15194,181803,42821,123350,15632,0
Alabama       ,AL,1997           ,4319000,24379,426,6931,15626,186809,43786,127616,15407,0
Alabama       ,AL,1998           ,4352000,22286,354,5698,14791,177779,41965,120943,14871,0
Alabama       ,AL,1999           ,4369862,21421,345,5297,14266,171398,38648,119616,13134,0
Alabama       ,AL,2000           ,4447100,21620,329,5702,14107,180539,40331,127399,12809,0
Alabama       ,AL,2001           ,4468912,19582,379,5584,12250,173253,40642,119992,12619,0
Alabama       ,AL,2002           ,4478896,19931,303,5962,12002,180400,42578,123932,13890,0
Alabama       ,AL,2003           ,4503726,19331,299,6038,11338,182241,43245,124039,14957,0
Alabama       ,AL,2004           ,4525375,19324,254,6042,11286,182340,44666,123650,14024,0
Alabama       ,AL,2005           ,4548327,19678,374,6447,11293,177393,43473,120780,13140,0
Alabama       ,AL,2006           ,4599030,19553,382,7062,10463,181249,44780,121451,15018,0
Alabama       ,AL,2007           ,4627851,20775,412,7398,11417,184082,45379,124465,14238,0
Alabama       ,AL,2008           ,4661900,21110,351,7346,11795,190416,50411,126539,13466,0
Alabama       ,AL,2009           ,4708708,21194,322,6265,13103,178007,48844,118072,11091,1
Alabama       ,AL,2010           ,4785401,18363,275,4864,11869,168828,42484,115564,10780,1
Alabama       ,AL,2011           ,4803689,20166,299,4906,13591,173192,51119,111411,10662,1
Alabama       ,AL,2012           ,4817528,21693,342,5020,15035,168878,47481,111523,9874,2
Alabama       ,AL,2013           ,4833996,20834,346,4645,13788,161835,42410,108862,10563,1
Alabama       ,AL,2014           ,4846411,20727,276,4702,13744,154087,39723,104223,10141,0
Alabama       ,AL,2015           ,4853875,22957,348,4612,15960,144785,35265,99182,10338,2
Alabama       ,AL,2016           ,4860545,25878,407,4687,18869,143259,34045,97498,11716,3
Arkansas      ,AR,1979           ,2180000,7984,198,1626,5565,70949,21457,45267,4225,0
Arkansas      ,AR,1980           ,2284037,7656,210,1848,4989,79390,25559,49558,4273,0
Arkansas      ,AR,1981           ,2294000,7119,209,1776,4557,79972,24732,50959,4281,0
Arkansas      ,AR,1982           ,2291000,7438,187,1805,4824,81259,24547,52450,4262,0
Arkansas      ,AR,1983           ,2328000,6930,178,1614,4552,74563,22380,48140,4043,0
Arkansas      ,AR,1984           ,2349000,7549,176,1587,5089,71554,20810,46807,3937,0
Arkansas      ,AR,1985           ,2359000,8199,187,1617,5709,76372,22207,49957,4208,0
Arkansas      ,AR,1986           ,2372000,9365,191,1890,6598,83729,24429,54677,4623,0
Arkansas      ,AR,1987           ,2388000,9839,182,1890,6988,91537,25743,60862,4932,0
Arkansas      ,AR,1988           ,2422000,10237,211,2037,7209,91962,26443,60363,5156,0
Arkansas      ,AR,1989           ,2406000,11397,203,2660,7610,98213,28738,63084,6391,0
Arkansas      ,AR,1990           ,2350725,12511,241,2661,8590,101897,28464,66630,6803,0
Arkansas      ,AR,1991           ,2372000,14072,264,3217,9533,108677,29093,71487,8097,0
Arkansas      ,AR,1992           ,2399000,13831,259,3011,9571,100402,26214,66288,7900,0
Arkansas      ,AR,1993           ,2424000,14381,247,3027,10079,102231,26646,67767,7818,0
Arkansas      ,AR,1994           ,2453000,14598,294,3158,10118,103115,26911,68478,7726,0
Arkansas      ,AR,1995           ,2484000,13741,259,3122,9435,102780,24763,69935,8082,0
Arkansas      ,AR,1996           ,2510000,13161,219,2864,9032,104790,23925,73010,7855,0
Arkansas      ,AR,1997           ,2523000,13293,250,2814,9131,105759,25568,72253,7938,0
Arkansas      ,AR,1998           ,2538000,12442,201,2442,8906,96271,23559,65525,7187,1
Arkansas      ,AR,1999           ,2551373,10848,143,2024,7971,92283,21692,63927,6664,0
Arkansas      ,AR,2000           ,2673400,11904,168,2001,8887,98115,21443,69740,6932,0
Arkansas      ,AR,2001           ,2694698,12190,148,2181,8969,99106,22196,69590,7320,0
Arkansas      ,AR,2002           ,2706268,11501,142,2524,8081,101171,23229,71129,6813,0
Arkansas      ,AR,2003           ,2727774,12449,180,2227,9131,99084,25016,68061,6007,0
Arkansas      ,AR,2004           ,2750000,13814,176,2372,10083,110911,30151,74242,6518,0
Arkansas      ,AR,2005           ,2775708,14670,189,2532,10747,112914,30118,75510,7286,0
Arkansas      ,AR,2006           ,2810872,15538,205,2749,11259,112025,31864,72646,7515,0
Arkansas      ,AR,2007           ,2834797,15226,198,3105,10629,112130,32035,73096,6999,0
Arkansas      ,AR,2008           ,2855390,14649,165,2777,10244,110360,33912,69905,6543,1
Arkansas      ,AR,2009           ,2889450,14905,179,2576,10772,109078,34753,68228,6097,0
Arkansas      ,AR,2010           ,2921588,14711,134,2369,10887,103820,32463,65796,5561,0
Arkansas      ,AR,2011           ,2938582,14173,160,2357,10426,110430,34016,70645,5769,0
Arkansas      ,AR,2012           ,2949828,13851,174,2310,10134,109389,32673,70982,5734,0
Arkansas      ,AR,2013           ,2958765,13705,158,2261,9796,106477,30369,70430,5678,0
Arkansas      ,AR,2014           ,2966835,14248,175,2037,10220,99452,24816,69001,5635,0
Arkansas      ,AR,2015           ,2977853,15769,189,2117,11455,97391,22851,68720,5820,0
Arkansas      ,AR,2016           ,2988231,16563,217,2125,12007,98092,23814,67091,7187,0
Arizona       ,AZ,1979           ,2450000,14528,219,4305,8884,177977,48916,116976,12085,0
Arizona       ,AZ,1980           ,2715357,17673,279,5258,10909,204193,58527,132814,12852,0
Arizona       ,AZ,1981           ,2793000,16082,227,4961,9830,196575,57655,127469,11451,0
Arizona       ,AZ,1982           ,2860000,14785,236,4537,8912,189161,53861,124723,10577,0
Arizona       ,AZ,1983           ,2963000,14642,213,3923,9265,174740,49440,114721,10579,0
Arizona       ,AZ,1984           ,3053000,15756,238,4003,10199,182670,52327,118604,11739,0
Arizona       ,AZ,1985           ,3187000,19202,254,4670,12820,207591,59585,135720,12286,0
Arizona       ,AZ,1986           ,3317000,21835,307,5614,14489,221015,63278,143845,13892,0
Arizona       ,AZ,1987           ,3386000,20742,253,4687,14406,222663,55059,153296,14308,0
Arizona       ,AZ,1988           ,3466000,21147,294,4750,14758,237808,54773,167121,15914,0
Arizona       ,AZ,1989           ,3556000,21320,237,4944,14853,265284,59284,181574,24426,0
Arizona       ,AZ,1990           ,3665228,23911,284,5897,16230,265229,61206,172375,31648,0
Arizona       ,AZ,1991           ,3750000,25152,291,6215,17056,252559,60281,159987,32291,1
Arizona       ,AZ,1992           ,3832000,25706,312,5867,17880,243629,54095,158053,31481,0
Arizona       ,AZ,1993           ,3936000,28142,339,6412,19903,264371,57684,172689,33998,0
Arizona       ,AZ,1994           ,4075000,28653,426,6601,20161,294273,60157,190649,43467,0
Arizona       ,AZ,1995           ,4218000,30095,439,7329,20909,316355,59762,207763,48830,0
Arizona       ,AZ,1996           ,4428000,27963,377,7429,18776,284964,55630,188300,41034,0
Arizona       ,AZ,1997           ,4555000,28411,375,7547,18997,299323,60077,195045,44201,0
Arizona       ,AZ,1998           ,4669000,26984,376,7715,17442,280001,56473,183137,40391,0
Arizona       ,AZ,1999           ,4778332,26334,384,7288,17279,255401,49423,167731,38247,0
Arizona       ,AZ,2000           ,5130632,27281,359,7504,17841,271811,51902,176705,43204,0
Arizona       ,AZ,2001           ,5306966,28675,400,8868,17889,293874,54821,186850,52203,0
Arizona       ,AZ,2002           ,5441125,30171,387,8000,20176,318296,59087,201541,57668,1
Arizona       ,AZ,2003           ,5579222,28638,441,7619,18722,314335,58613,198725,56997,0
Arizona       ,AZ,2004           ,5739879,28952,414,7721,18921,291203,56885,179012,55306,0
Arizona       ,AZ,2005           ,5953007,30478,445,8579,19448,287345,56328,176112,54905,0
Arizona       ,AZ,2006           ,6166318,33456,533,9491,20983,294389,59418,178321,56650,0
Arizona       ,AZ,2007           ,6338755,32835,548,9764,20170,287308,59988,177076,50244,0
Arizona       ,AZ,2008           ,6500180,31567,462,9809,19096,266653,58606,169460,38587,1
Arizona       ,AZ,2009           ,6595778,28128,380,8199,17270,236721,54308,155976,26437,0
Arizona       ,AZ,2010           ,6413158,26528,408,6953,16976,226802,50932,154137,21733,0
