Postal Code,Title,Latitude,Longitude,Number of Victim Fatalities,Total Number of Fatalities,Number of Victims Injured,Total Number of Victims,Description,year
VA,"Chesapeake, Virginia                                            ",36.8,-76.3,5,6,0,5,"A Virginia man shot his brother dead in their family home, then killed four other relatives in a nearby house before turning the gun on himself Wednesday. He killed his brother in their house around 3:35 p.m. He then went to the house belonging to his grandmother and murdered more relatives ? father, mother, sister, and an unidentified female.                                                                                                                                                                                                 ",2016
VA,"Halifax County, VA                                              ",36.8,-78.9,0,0,6,6,"Male shooter fired into crown when a deputy police tried, unsuccessfully to stop him. The deputy fired on the shooter and inured him.                                                                                                                                                                                                                                                                                                                                                                                                                     ",2016
WA,Wah Mee Club in Seattle                                         ,47.6,-122.3,13,13,1,14,"On February 18, 1983, three man between the ages of 22 and 24 entered the Wah Mee gambling club in Seattle, Washington, shooting fourteen people. Thirteen victims lost their lives, but one survived to testify.                                                                                                                                                                                                                                                                                                                                         ",1983
WA,Frontier Junior High School                                     ,47.1,-119.3,3,3,1,4,"On February 2, 1996, a 14-year-old student walked into his algebra class at Frontier Junior High School in Moses Lake, Washington shooting and killing his teacher before killing two students, one who had bullied him, and wounding another student in the arm. He then held the class hostage and was tackled and held by a teacher until he was apprehended by police.                                                                                                                                                                                ",1996
WA,St. Aloysius Church                                             ,47.7,-117.4,1,2,4,5,"On November 11, 1971, a former MIT student entered St. Aloysius Roman Catholic Church on the Gonzaga University campus. The shooter killed the caretaker and wounded four more people before he was killed by police.                                                                                                                                                                                                                                                                                                                                     ",1971
WA,Parkland Coffee Shop                                            ,47.2,-122.5,4,5,0,4,"On November 29, 2009, a 37-year old convicted felon who was out on bail, entered a coffee shop in Lakewood, Washington. The gunman shot and killed four off-duty police officers who had gone there to use their laptops before their shifts. After a two-day manhunt, the gunman was shot and killed by a police officer in south Seattle.                                                                                                                                                                                                               ",2009
WA,Marysville-Pilchuck High School                                 ,48,-122.1,4,5,1,5,"On October 24, 2014, a freshman at Marysville-Pilchuck High School approached a table of his friends in the school cafeteria and a verbal fight ensued. The student then pulled out a handgun and fired at the students at the table. He injured five students, killed 1 girl, and then committed suicide by shooting himself in the head. Three of the four injured students died in the hospital in the following days.                                                                                                                                 ",2014
WI,Sikh Temple in Wisconsin                                        ,42.9,-87.9,6,7,4,10,"On August 5, 2012, a 40-year old US Army veteran and white supremacist opened fire in a Sikh Temple in Oak Creek, Wisconsin fatally shooting six people and wounded four others. The shooter took his life by shooting himself after he was shot in the stomach by a responding police officer. His girlfriend had broken up with him very recently.                                                                                                                                                                                                      ",2012
WI,"Apartment in Crandon, Wisconsin                                 ",45.6,-88.9,6,7,1,7,"In the early hours of October 7, 2007, a 20-year-old off-duty sheriff's deputy at a homecoming after party opened fire on houseguests possibly after a dispute with his girlfriend. He killed six and wounded another before fleeing the scene and committing suicide.                                                                                                                                                                                                                                                                                    ",2007
WI,Living Church of God                                            ,43.1,-88.1,7,8,4,11,"On March 12, 2005, a 44-year-old computer technician about to lose his job in Brookfield, Wisconsin opened fire on a congregation at the Living Church of God, killing the minister, six others and wounding four more before committing suicide.                                                                                                                                                                                                                                                                                                         ",2005
