state_abbr,Title,Latitude,Longitude,Fatalities,Injured,Victims,X,Desc,Year,
CA,"Covina, California                                              ",34.1,-117.9,9,10,2,11,"On December 24, 2008, a 45-year-old man entered his brother's residence in Covina, California while dressed in a Santa Claus costume. He then opened fire on his family and ex-wife, killing several before setting the house ablaze. He committed suicide with a gunshot wound to the head. Nine victims died in the incident and two of the wounded escaped the fire.                                                                                                                                                                                   ",2008
CA,Grover Cleveland Elementary School                              ,32.9,-117.1,2,2,9,11,"On January 29, 1979, a 16-year-old opened fire at children waiting to enter Grover Cleveland Elementary School. The shooter put herself by a window in her home and began shooting across the street while the children were waiting outside for the principal to open the gate.  The principal and a custodian were killed and eight children and a police officer were injured.                                                                                                                                                                         ",1979
CA,Santa Monica College                                            ,34,-118.5,5,6,3,8,"On June 7, 2013, a 23-year old killed his father and brother at their family home and then set the home on fire in Santa Monica, California. He then forced a motorist to drive him to the Santa Monica College campus. On his way there he fired at commuters. During a 13-minute shooting spree spanning roughly 1.5 miles he killed three other people and three others wounded by gun shot. The shooter was killed by the police in the Santa Monica College library.                                                                                 ",2013
CA,Cleveland Elementary School                                     ,38,-121.3,5,6,30,35,"On January 17, 1989, an unemployed 24-year-old man arrived to Cleveland Elementary School in Stockton, California. He set his car on fire in the parking lot, before entering the school to begin shooting. The shooter killed five students and injured thirty others including a teacher, before killing himself.                                                                                                                                                                                                                                       ",1989
CA,Los Angeles International Airport (LAX)                         ,34.2,-118.5,1,1,3,4,"On November 1, 2013, an unemployed 23-year old man entered Terminal 3 at Los Angeles International Airport (LAX) in California, and pulled a rifle from his bag, killing one TSA officer and wounding two other officers and a passenger before he was wounded and captured. Witnesses said that the shooter was calmly asking people: ""Hey, are you TSA?"". If they said no, the shooter moved on.                                                                                                                                                        ",2013
CA,Offices of Pettit & Martin in San Francisco                     ,37.8,-122.4,8,9,6,14,"On July 1, 1993, a 55-year-old failing entrepreneur entered the law offices of Pettit & Martin in the financial district of San Francisco, California. He then opened fire on the office, killing eight and wounding six others before turning the gun on himself. He had apparently targeted the law firm due to his deep hatred for lawyers arising from his failed business endeavors and a real estate consultation with the firm years before.                                                                                                       ",1993
CA,Isla Vista                                                      ,34.4,-119.9,3,7,7,10,"On the evening of May 23, 2014, a 22-year-old student and resident of Isla Vista stabbed two roommates and their friend to death in his apartment. He then drove to a sorority house in Isla Vista and attempted to enter the premises to no avail, and began shooting at a neighboring sorority's members, killing two and wounding another. He continued shooting between altercations with police throughout Isla Vista, killing another male student and wounding six more before committing suicide.                                                 ",2014
CA,Riverside restaurant shooting                                   ,34,-117.5,1,1,3,4,Shooter fired upon group of people in a restaurant parking lot                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,2016
CA,"Rivermark, Santa Clara, California                              ",37.4,-122,5,6,1,6,"On March 29, 2009, a 42-year-old web analytics technician for Yahoo! in Santa Clara, California began shooting in his home. He killed his two children, his brother-in-law, sister-in-law, and their infant daughter before committing suicide. He was found to have a growing brain tumor during the autopsy.                                                                                                                                                                                                                                            ",2009
CA,San Diego State University                                      ,32.9,-117.1,3,3,0,3,"On August 15, 1996, a 36-year-old mechanical engineering graduate student at San Diego State University in San Diego, California was set to defend his Master's thesis for the second time. Instead, he pulled a gun he had stashed in a first aid kit in the room and shot twenty-three rounds into the three professors witnessing his defense, killing all three. He was found and arrested in the room, where he had planned to commit suicide but could not do it.                                                                                   ",1996
CA,Dana Point Post Office                                          ,33.5,-117.7,1,1,5,6,"On May 6, 1993, after murdering his mother and her dog, a 38-year-old postal employee who had been fired five months prior arrived at the post office in Dana Point, California and shot and killed a former coworker and wounded another. He later shot a man in his garage, a woman motorist, robbed and shot two others at an ATM, totaling five injured victims and one death.                                                                                                                                                                        ",1993
CA,McDonald's restaurant in San Ysidro                             ,32.6,-117,21,22,19,40,"On July 18, 1984, a 41-year-old unemployed man, walked into a McDonald's restaurant in San Ysidro, California, killing twenty-one people and injuring nineteen others. The shooter was killed at the scene by a SWAT team sniper perched on the roof next door.                                                                                                                                                                                                                                                                                           ",1984
CO,"Colorado Springs, Colorado                                      ",38.9,-104.8,3,3,9,12,"On Friday of November 27, 2015, the shooter opened fire inside a Planned Parenthood clinic in Colorado Springs. Three people were killed and nine others were hurt. The shooter surrendered to officers after a five-hour ordeal Friday in which he fired randomly at people in the clinic and roamed the halls shooting through walls with an assault-style rifle.                                                                                                                                                                                       ",2015
CO,Colorado Springs                                                ,38.9,-104.8,3,4,0,3,"In the morning of October 31, 2015, three victims were shot and killed on the streets and sidewalks of the neighborhood.The gunman died in a shootout with police. A witness described he was walking in the street with two guns, walking calmly. The shooter killed a bicyclist and two women at a nearby location.                                                                                                                                                                                                                                     ",2015
CO,Movie Theater in Aurora                                         ,39.7,-105,12,12,58,70,"On July 20, 2012, a 24-year old student set off several gas or smoke canisters at a movie theater in Aurora, and then opened fire on the theater audience, killing twelve people and wounding fifty-eight. Moments after the shooting, police arrested the shooter next to his car behind the theater. Once apprehended, the shooter told the police that he had booby-trapped his apartment with explosive devices before heading to the theater.                                                                                                        ",2012
CT,Hartford Beer Distributors                                      ,41.8,-72.5,8,9,2,10,"On August 3, 2010, a 34-year old man was called into his place of employment at Hartford Beer Distributors in Manchester, Connecticut for disciplinary purposes. He signed resignation papers after he was accused of stealing beer and while he was been escorted out of the building, he opened fire killing eight coworkers and injuring two others before committing suicide.                                                                                                                                                                         ",2010
CT,Connecticut State Lottery Headquarters                          ,41.7,-72.7,4,5,0,4,"On March 6, 1998, a 35-year-old disgruntled employee of the State Lottery in Newington, Connecticut arrived at his workplace and began shooting. He killed four of his coworkers and supervisors before committing suicide.                                                                                                                                                                                                                                                                                                                               ",1998
FL,Radisson Bay Harbor Inn                                         ,28,-82.4,5,5,3,8,"On December 30, 1999, a 36-year-old employee of the Radisson Bay Harbor Inn in Tampa, Florida arrived at his place of work and began shooting his coworkers, killing four and wounding three others. He fled the scene and attempted to steal a vehicle, killing the woman inside before being arrested.                                                                                                                                                                                                                                                  ",1999
FL,Pinellas Park High School                                       ,27.8,-82.7,1,1,2,3,"On February 11, 1988, two students age 15 and 16 were confronted by school personnel regarding firearms they had stolen and carried on campus. The shooting began after the staff attempted to physically restrain the students, and ended with an assistant principal killed and two others injured.                                                                                                                                                                                                                                                     ",1988
FL,"Plantation, Florida                                             ",26.1,-80.2,1,1,4,5,A Spring Break party in a house packed with 400 people ended in gunfire that killed one man and wounded four others.                                                                                                                                                                                                                                                                                                                                                                                                                                      ,2016
FL,Daytona Beach                                                   ,29.2,-81.1,0,0,4,4,"On April 3, 2015, four people were shot early Friday morning at a house party near Bethune-Cookman University in Daytona Beach. Four Bethune-Cookman University students were shot after the alleged gunman was kicked out of a house party about four blocks from the campus in Daytona Beach. The escaped suspect surrendered on April 6, 2015.                                                                                                                                                                                                         ",2015
FL,"Tampa, FL Strip club shooting                                   ",28,-82.5,2,2,6,8,"Fighting broke out in a strip club when an unknown shooter starting firing. One person died on the scene, and one died later. Six were injured.                                                                                                                                                                                                                                                                                                                                                                                                           ",2016
FL,Hialeah Apartments                                              ,25.9,-80.3,6,7,0,6,"On July 26, 2013, a 42-year old man set fire to his apartment in Hialeah, Florida, and opened fire from his balcony and inside the apartment complex. Then he held two neighbors hostage during a stand-off with police until he was fatally shot by a SWAT team.                                                                                                                                                                                                                                                                                         ",2013
FL,"Orlando, Florida                                                ",28.5,-81.5,2,2,10,12,Two people were killed and several others were hurt in a mass shooting inside an Orlando nightclub early Sunday morning.                                                                                                                                                                                                                                                                                                                                                                                                                                  ,2016
FL,Palm Bay Shopping Centers                                       ,28,-80.7,6,6,14,20,"On April 23, 1987, a 59-year-old retired librarian in Palm Bay, Florida began a shooting spree in his neighborhood, where he shot and injured several of his neighbors. He continued the shooting at two local shopping centers, killing a total of four civilians and two police officers, and injuring nine others.                                                                                                                                                                                                                                     ",1987
FL,Welding shop in Miami                                           ,25.8,-80.2,8,9,3,11,"On August 20, 1982, a 51-year-old teacher on psychiatric leave opened fire inside a welding shop in Miami, Florida killing eight employees and wounding another three. The shooter was later shot and run down by two witnesses while he was cycling away from the crime scene.                                                                                                                                                                                                                                                                           ",1982
FL,Florida family murder                                           ,30.8,-86.6,3,3,0,3,"A young man shot his mother, step-father, and his ex-girlfriend's boyfriend                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ",2016
FL,"Inglis, Florida                                                 ",29,-82.7,2,3,1,3,"A man 57-year-old man shot and killed his wife, injured her boyfriend, and killed a Good Samaritan 68-year-old man as he rushed to protect children who were playing near the town hall before taking his life. The shooter's couple had been married for 35 years when they separated, and the shooter's wife had left her husband for her new boyfriend.                                                                                                                                                                                                ",2015
