Name,Genre,Year
Dr. Mario Express                           ,Puzzle          ,2009
Dr. Mario Online RX                         ,Puzzle          ,2008
Dr. Mario: Miracle Cure                     ,Puzzle          ,2015
Dr. Maybee and the Adventures of Scarygirl  ,Platform        ,2011
Dr. MiniGames                               ,Misc            ,2010
Dr. Muto                                    ,Platform        ,2002
Dr. Muto                                    ,Platform        ,2003
Dr. Popper                                  ,Puzzle          ,2008
Dr. Robotnik's Mean Bean Machine            ,Puzzle          ,1993
Dr. Robotnik's Mean Bean Machine            ,Puzzle          ,1994
Dr. Robotnik's Mean Bean Machine            ,Puzzle          ,2006
Dr. Robotnik's Mean Bean Machine            ,Puzzle          ,2010
Dr. Ruth's Computer Game of Good Sex        ,Misc            ,1986
Dr. Seuss Green Eggs & Ham                  ,Misc            ,1986
Dr. Seuss Kindergarten                      ,Misc            ,1986
Dr. Seuss Reading Games                     ,Misc            ,1986
Dr. Seuss' The Cat in the Hat               ,Adventure       ,2003
Dr. Seuss' The Cat in the Hat               ,Misc            ,2003
Dr. Seuss: Green Eggs and Ham               ,Action          ,2003
Dr. Seuss: How the Grinch Stole Christmas   ,Action          ,2007
Dr. Seuss: The Cat in the Hat               ,Puzzle          ,2004
Dr. Slump & Arale-Chan                      ,Adventure       ,2008
Dr. Stop!                                   ,Adventure       ,1990
Dr. Sudoku                                  ,Puzzle          ,2006
Draconian Wars                              ,Strategy        ,2014
Draconus: Cult of the Wyrm                  ,Adventure       ,2000
Dracula                                     ,Action          ,1983
Dracula 2: The Last Sanctuary               ,Misc            ,2012
Dracula 2: The Last Sanctuary               ,Misc            ,2014
Dracula 3: The Path of the Dragon           ,Adventure       ,2008
Dracula the Undead                          ,Action          ,1991
Dracula Twins                               ,Platform        ,2006
Dracula Unleashed                           ,Adventure       ,1993
Dracula: Origin                             ,Adventure       ,2008
Dracula: The Last Sanctuary                 ,Adventure       ,2001
Dracula: The Last Sanctuary                 ,Adventure       ,2002
Dracula: The Resurrection                   ,Adventure       ,2000
Dracula: Undead Awakening                   ,Action          ,2010
Drag Racer USA                              ,Racing          ,2006
Draglade                                    ,Fighting        ,2007
Draglade (JP sales)                         ,Fighting        ,2007
Dragon Age II                               ,Role-Playing    ,2011
Dragon Age II ( BioWare Signature Edition ) ,Role-Playing    ,2011
Dragon Age II: Legacy                       ,Role-Playing    ,2011
Dragon Age II: Mark of the Assassin         ,Role-Playing    ,2011
Dragon Age II: The Black Emporium           ,Role-Playing    ,2011
Dragon Age II: The Exiled Prince            ,Role-Playing    ,2011
Dragon Age Origins: Awakening               ,Role-Playing    ,2010
Dragon Age Origins: Darkspawn Chronicles    ,Role-Playing    ,2010
Dragon Age Origins: Golems of Amgarrak      ,Role-Playing    ,2010
Dragon Age Origins: Leliana's Song          ,Role-Playing    ,2010
Dragon Age Origins: Return to Ostagar       ,Role-Playing    ,2010
Dragon Age Origins: The Stone Prisoner      ,Role-Playing    ,2009
Dragon Age Origins: Warden's Keep           ,Role-Playing    ,2009
Dragon Age Origins: Witch Hunt              ,Role-Playing    ,2010
Dragon Age: Inquisition                     ,Role-Playing    ,2014
Dragon Age: Origins                         ,Role-Playing    ,2009
Dragon Age: Origins                         ,Role-Playing    ,2011
Dragon Age: Origins - Ultimate Edition      ,Role-Playing    ,2010
Dragon Ball                                 ,Role-Playing    ,2003
Dragon Ball 3: Gokuuden                     ,Role-Playing    ,1989
Dragon Ball GT: Final Bout                  ,Fighting        ,1997
Dragon Ball GT: Game Boy Advance Video Volum,Misc            ,2004
Dragon Ball GT: Transformation              ,Action          ,2005
Dragon Ball Heroes: Ultimate Mission        ,Fighting        ,2013
Dragon Ball Heroes: Ultimate Mission 2      ,Fighting        ,2014
Dragon Ball Kai: Ultimate Butouden          ,Fighting        ,2011
Dragon Ball Online                          ,Role-Playing    ,1989
Dragon Ball Z                               ,Fighting        ,1994
Dragon Ball Z                               ,Fighting        ,1999
Dragon Ball Z for Kinect                    ,Misc            ,2012
Dragon Ball Z Gaiden: Saiyajin Zetsumetsu Ke,Role-Playing    ,1993
Dragon Ball Z Hyper Dimension               ,Fighting        ,1996
Dragon Ball Z II: Gekigami Freeza!!         ,Role-Playing    ,1991
Dragon Ball Z III: Ressen Jinzou Ningen     ,Role-Playing    ,1992
Dragon Ball Z Super Gokuden: Kakusei-Hen    ,Role-Playing    ,1995
Dragon Ball Z Super Gokuden: Totsugeki-Hen  ,Role-Playing    ,1995
Dragon Ball Z Trilogy                       ,Action          ,2008
Dragon Ball Z: Attack of the Saiyans        ,Role-Playing    ,2009
Dragon Ball Z: Battle of Z                  ,Fighting        ,2014
Dragon Ball Z: Budokai                      ,Fighting        ,2002
Dragon Ball Z: Budokai                      ,Fighting        ,2003
Dragon Ball Z: Budokai 2                    ,Fighting        ,2003
Dragon Ball Z: Budokai 2                    ,Fighting        ,2004
Dragon Ball Z: Budokai 3                    ,Fighting        ,2004
Dragon Ball Z: Budokai Tenkaichi            ,Fighting        ,2005
Dragon Ball Z: Budokai Tenkaichi 2          ,Fighting        ,2006
Dragon Ball Z: Budokai Tenkaichi 2 (JP sales,Action          ,2015
Dragon Ball Z: Budokai Tenkaichi 3          ,Fighting        ,2007
Dragon Ball Z: Burst Limit                  ,Fighting        ,2008
Dragon Ball Z: Buu's Fury                   ,Action          ,2004
Dragon Ball Z: Buu's Fury / Dragon Ball GT: ,Action          ,2006
Dragon Ball Z: Chou Saiya Densetsu          ,Role-Playing    ,1992
Dragon Ball Z: Collectible Card Game        ,Misc            ,2002
Dragon Ball Z: Extreme Butoden              ,Fighting        ,2015
Dragon Ball Z: Gekitou Tenkaichi Budokai    ,Fighting        ,1992
Dragon Ball Z: Goku Gekitouden              ,Role-Playing    ,1995
Dragon Ball Z: Goku Hishouden               ,Role-Playing    ,1994
Dragon Ball Z: Harukanaru Densetsu          ,Role-Playing    ,2007
Dragon Ball Z: Harukanaru Densetsu (JP sales,Role-Playing    ,2007
Dragon Ball Z: Idainaru Dragon Ball Densetsu,Fighting        ,1996
Dragon Ball Z: Infinite World               ,Fighting        ,2008
Dragon Ball Z: Kyoushuu! Saiyajin           ,Role-Playing    ,1990
Dragon Ball Z: La Legende Saien             ,Fighting        ,1994
Dragon Ball Z: Legendary Super Warriors     ,Role-Playing    ,2002
Dragon Ball Z: Sagas                        ,Fighting        ,2005
Dragon Ball Z: Shin Budokai                 ,Fighting        ,2006
Dragon Ball Z: Shin Budokai                 ,Fighting        ,2009
Dragon Ball Z: Shin Budokai - Another Road  ,Fighting        ,2007
Dragon Ball Z: Shin Budokai - Another Road  ,Fighting        ,2009
Dragon Ball Z: Shin Butouden                ,Fighting        ,1995
Dragon Ball Z: Supersonic Warriors          ,Fighting        ,2004
Dragon Ball Z: Supersonic Warriors 2        ,Fighting        ,2005
Dragon Ball Z: Taiketsu                     ,Fighting        ,2003
Dragon Ball Z: Tenkaichi Tag Team           ,Fighting        ,2010
Dragon Ball Z: The Legacy of Goku           ,Role-Playing    ,2002
Dragon Ball Z: The Legacy of Goku I & II    ,Role-Playing    ,2005
Dragon Ball Z: The Legacy of Goku II        ,Role-Playing    ,2003
Dragon Ball Z: Ultimate Battle 22           ,Fighting        ,2003
Dragon Ball Z: Ultimate Tenkaichi           ,Fighting        ,2011
Dragon Ball Z: Ultime Menace                ,Fighting        ,1994
Dragon Ball: Advanced Adventure             ,Action          ,2006
Dragon Ball: Daimaou Fukkatsu               ,Role-Playing    ,1988
Dragon Ball: Evolution                      ,Fighting        ,2009
Dragon Ball: Evolution (jp sales)           ,Fighting        ,2009
Dragon Ball: Fusions                        ,Role-Playing    ,2016
Dragon Ball: Hunter                         ,Misc            ,2014
Dragon Ball: Origins                        ,Adventure       ,2008
Dragon Ball: Origins (JP & incomplete US sal,Adventure       ,2008
Dragon Ball: Origins 2                      ,Action          ,2010
Dragon Ball: Raging Blast                   ,Fighting        ,2009
Dragon Ball: Raging Blast 2                 ,Fighting        ,2010
Dragon Ball: Revenge of King Piccolo        ,Action          ,2009
Dragon Ball: Xenoverse                      ,Fighting        ,2015
Dragon Ball: Xenoverse 2                    ,Action          ,2016
Dragon Blade: Wrath of Fire                 ,Action          ,2007
Dragon Blaze                                ,Shooter         ,2006
Dragon Booster                              ,Shooter         ,2005
Dragon Buster                               ,Platform        ,1987
Dragon Buster                               ,Platform        ,2008
Dragon Buster (Arcade)                      ,Platform        ,2009
Dragon Buster II: Yami no Fuuin             ,Role-Playing    ,1989
Dragon City                                 ,Adventure       ,2012
Dragon City                                 ,Misc            ,2012
Dragon Coins                                ,Misc            ,2014
Dragon Crystal                              ,Role-Playing    ,1990
Dragon Crystal                              ,Role-Playing    ,1991
Dragon Dance                                ,Puzzle          ,2000
Dragon Dance                                ,Puzzle          ,2009
Dragon Drive: D-Masters Shot                ,Shooter         ,2003
Dragon Drive: Tactics Break                 ,Role-Playing    ,2002
Dragon Drive: World D Break                 ,Role-Playing    ,2003
Dragon Egg!                                 ,Platform        ,1991
Dragon Fantasy Book I                       ,Misc            ,2012
Dragon Fantasy Book I                       ,Misc            ,2013
Dragon Fantasy Book II                      ,Misc            ,2014
Dragon Fighter                              ,Action          ,1992
Dragon Fighting Mission RPG                 ,Role-Playing    ,2014
Dragon Force                                ,Strategy        ,1996
Dragon Force II: Kamisarishi Daichi ni      ,Strategy        ,1998
Dragon Hunters                              ,Action          ,2008
Dragon Knight & Graffiti                    ,Role-Playing    ,1995
Dragon Knight 4                             ,Role-Playing    ,1997
Dragon Knight 4                             ,Role-Playing    ,2007
Dragon Knight II                            ,Role-Playing    ,1992
Dragon Knight III                           ,Role-Playing    ,1994
Dragon Lore                                 ,Adventure       ,1994
Dragon Lore                                 ,Role-Playing    ,1994
Dragon Lore II: The Heart of the Dragon Man ,Role-Playing    ,1997
Dragon Mania                                ,Misc            ,2013
Dragon Master Silk                          ,Role-Playing    ,1997
Dragon Master Spell Caster                  ,Action          ,2009
Dragon Money                                ,Puzzle          ,1999
Dragon Money                                ,Puzzle          ,2010
Dragon Nest                                 ,Role-Playing    ,2011
Dragon no Tiara                             ,Adventure       ,1998
Dragon Power                                ,Action          ,1988
Dragon Quest & Final Fantasy in Itadaki Stre,Misc            ,2006
Dragon Quest & Final Fantasy in Itadaki Stre,Misc            ,2004
Dragon Quest & Final Fantasy in Itadaki Stre,Misc            ,2006
Dragon Quest 25 Shuunen Kinin: Famicom & Sup,Role-Playing    ,2011
Dragon Quest Builders: Revive Alefgard      ,Role-Playing    ,2016
Dragon Quest Characters: Torneko no Daibouke,Role-Playing    ,2001
Dragon Quest Characters: Torneko no Daibouke,Role-Playing    ,2004
Dragon Quest Characters: Torneko no Daibouke,Role-Playing    ,2002
Dragon Quest Heroes II: Twin Kings and the P,Action          ,2016
Dragon Quest Heroes: Rocket Slime           ,Adventure       ,2006
Dragon Quest Heroes: The World's Tree Woe an,Action          ,2015
Dragon Quest I & II                         ,Role-Playing    ,1993
Dragon Quest II                             ,Role-Playing    ,1990
Dragon Quest III                            ,Role-Playing    ,1992
Dragon Quest III                            ,Role-Playing    ,2001
Dragon Quest III: Soshite Densetsu e...     ,Role-Playing    ,1996
Dragon Quest IV                             ,Role-Playing    ,1992
Dragon Quest IV: Chapters of the Chosen     ,Role-Playing    ,2008
Dragon Quest IV: Michibikareshi Monotachi   ,Role-Playing    ,2001
Dragon Quest IX: Sentinels of the Starry Ski,Role-Playing    ,2010
Dragon Quest Monsters                       ,Role-Playing    ,1999
Dragon Quest Monsters 12                    ,Role-Playing    ,2002
Dragon Quest Monsters 2                     ,Role-Playing    ,2014
Dragon Quest Monsters 2: Cobi's Journey     ,Role-Playing    ,2001
Dragon Quest Monsters Joker 3               ,Role-Playing    ,2016
Dragon Quest Monsters: Battle Road Victory  ,Strategy        ,2010
Dragon Quest Monsters: Battle Road Victory -,Misc            ,2010
Dragon Quest Monsters: Joker                ,Role-Playing    ,2007
Dragon Quest Monsters: Joker 2              ,Role-Playing    ,2011
Dragon Quest Monsters: Joker 2 Professional ,Role-Playing    ,2011
Dragon Quest Monsters: Terry's Wonderland 3D,Role-Playing    ,2012
Dragon Quest Swords: The Masked Queen and th,Role-Playing    ,2008
Dragon Quest V: Hand of the Heavenly Bride  ,Role-Playing    ,2009
Dragon Quest V: Tenkuu no Hanayome          ,Role-Playing    ,1992
Dragon Quest V: Tenkuu no Hanayome          ,Role-Playing    ,2004
Dragon Quest VI: Maboroshi no Daichi        ,Role-Playing    ,1995
Dragon Quest VI: Realms of Revelation       ,Role-Playing    ,2011
Dragon Quest VII                            ,Role-Playing    ,2001
Dragon Quest VII: Fragments of the Forgotten,Role-Playing    ,2016
Dragon Quest VIII: Journey of the Cursed Kin,Role-Playing    ,2005
Dragon Quest Wars                           ,Strategy        ,2009
Dragon Quest X                              ,MMO             ,2011
Dragon Quest X                              ,MMO             ,2013
Dragon Quest X                              ,Role-Playing    ,2013
Dragon Quest X                              ,MMO             ,2014
Dragon Quest X: All in One Package          ,MMO             ,2015
Dragon Quest X: Inishie no Ryuu no Denshou O,MMO             ,2015
Dragon Quest: Shounen Yangus to Fushigi no D,Role-Playing    ,2006
Dragon Rage                                 ,Shooter         ,2001
Dragon Realms                               ,Role-Playing    ,1995
Dragon Realms                               ,Misc            ,2013
Dragon Saber                                ,Shooter         ,1991
Dragon Saber                                ,Shooter         ,2008
Dragon Saber (Arcade)                       ,Shooter         ,2009
Dragon Saga                                 ,Role-Playing    ,2009
Dragon Saga New Origins: Into the Darkness  ,Role-Playing    ,2011
Dragon Scroll: Yomigaerishi Maryuu          ,Role-Playing    ,1987
Dragon Shadow Spell                         ,Role-Playing    ,2007
Dragon Sisters                              ,Action          ,2007
Dragon Slayer Gaiden                        ,Role-Playing    ,1992
Dragon Slayer I                             ,Role-Playing    ,1990
Dragon Slayer: Eiyuu Densetsu               ,Role-Playing    ,1992
Dragon Slayer: Eiyuu Densetsu               ,Role-Playing    ,1994
Dragon Slayer: Eiyuu Densetsu               ,Role-Playing    ,2009
Dragon Slayer: Eiyuu Densetsu II            ,Role-Playing    ,1992
Dragon Slayer: Eiyuu Densetsu II            ,Role-Playing    ,1993
Dragon Slayer: Eiyuu Densetsu II            ,Role-Playing    ,1995
Dragon Slayer: Eiyuu Densetsu II            ,Role-Playing    ,2009
Dragon Slayer: The Legend of Heroes         ,Role-Playing    ,1991
Dragon Slayer: The Legend of Heroes         ,Role-Playing    ,1992
Dragon Slayer: The Legend of Heroes         ,Role-Playing    ,1994
Dragon Slayer: The Legend of Heroes         ,Role-Playing    ,2007
Dragon Spirit                               ,Shooter         ,1989
Dragon Spirit                               ,Shooter         ,2007
Dragon Spirit (Arcade)                      ,Shooter         ,2009
Dragon Spirit: The New Legend               ,Shooter         ,1990
Dragon Story                                ,Misc            ,2012
Dragon Tales: Dragon Adventures             ,Platform        ,2001
Dragon Tales: Dragon Adventures             ,Platform        ,2004
Dragon Tales: Dragon Seek                   ,Platform        ,2000
Dragon Tamer: Sound Spirit                  ,Role-Playing    ,2007
Dragon Throne: Battle of Red Cliffs         ,Strategy        ,2002
Dragon Tycoon Edge                          ,Strategy        ,1995
Dragon Valor                                ,Role-Playing    ,2000
Dragon View                                 ,Role-Playing    ,1994
Dragon Warrior                              ,Role-Playing    ,1989
Dragon Warrior I&II                         ,Role-Playing    ,2000
Dragon Warrior Monsters 2: Tara's Adventure ,Role-Playing    ,2001
Dragon Wars                                 ,Role-Playing    ,1989
Dragon Zakura DS                            ,Misc            ,2007
Dragon's Crown                              ,Role-Playing    ,2013
Dragon's Curse                              ,Platform        ,1991
Dragon's Curse                              ,Platform        ,2007
Dragon's Dogma                              ,Role-Playing    ,2012
Dragon's Dogma                              ,Role-Playing    ,2016
Dragon's Dogma Online                       ,Role-Playing    ,2015
Dragon's Dogma Online: Season 2             ,Action          ,2016
Dragon's Dogma Quest                        ,Role-Playing    ,2013
Dragon's Dogma: Dark Arisen                 ,Action          ,2013
Dragon's Dogma: Dark Arisen                 ,Role-Playing    ,2013
Dragon's Dogma: Dark Arisen                 ,Role-Playing    ,2016
Dragon's Earth                              ,Strategy        ,1993
Dragon's Fury                               ,Misc            ,1992
Dragon's Hoard                              ,Adventure       ,1992
Dragon's Lair                               ,Platform        ,1990
Dragon's Lair                               ,Platform        ,1993
Dragon's Lair                               ,Platform        ,1994
Dragon's Lair                               ,Platform        ,1995
Dragon's Lair                               ,Platform        ,2009
Dragon's Lair                               ,Adventure       ,2010
Dragon's Lair (PSP)                         ,Adventure       ,2011
Dragon's Lair 3D: Return to the Lair        ,Platform        ,2002
Dragon's Lair II: Time Warp                 ,Platform        ,2010
Dragon's Lair II: Time Warp                 ,Platform        ,2011
Dragon's Lair Trilogy                       ,Adventure       ,2010
Dragon's Lair: The Legend                   ,Platform        ,1991
Dragon's Revenge                            ,Misc            ,1993
Dragon's Rock                               ,Platform        ,1993
Dragon: The Bruce Lee Story                 ,Platform        ,1993
Dragon: The Bruce Lee Story                 ,Fighting        ,1994
Dragon: The Bruce Lee Story                 ,Fighting        ,1995
Dragon: The Bruce Lee Story                 ,Platform        ,1995
Dragoneer's Aria                            ,Role-Playing    ,2007
Dragoneer's Aria                            ,Role-Playing    ,2009
Dragonfire                                  ,Action          ,1982
DragonHeart: Fire & Steel                   ,Action          ,1996
Dragonia                                    ,Shooter         ,2001
Dragonology                                 ,Action          ,1996
Dragonology                                 ,Action          ,2009
Dragons & Titans                            ,Misc            ,2013
Dragons of Atlantis: Heirs of the Dragon    ,Misc            ,2013
Dragons World                               ,Misc            ,2013
Dragons: Dawn of New Riders                 ,Action-Adventure,1982
Dragonseeds                                 ,Action          ,1998
Dragonshard                                 ,Strategy        ,2005
Dragonsphere                                ,Adventure       ,1994
Dragonstomper                               ,Role-Playing    ,1982
dragonvale                                  ,Misc            ,2011
Dragoon                                     ,Fighting        ,2010
Dragoon: The Battles of Frederick the Great ,Strategy        ,1998
Dragoon: The Prussian War Machine           ,Strategy        ,2004
Dragster                                    ,Racing          ,1980
Drakan: Order of the Flame                  ,Action          ,1999
Drakan: The Ancients' Gates                 ,Adventure       ,2002
Drake & Josh                                ,Adventure       ,2007
Drake & Josh: Talent Showdown               ,Adventure       ,2007
Drake of the 99 Dragons                     ,Shooter         ,2003
Drakengard                                  ,Role-Playing    ,2004
Drakengard 2                                ,Role-Playing    ,2006
Drakengard 3                                ,Misc            ,2014
Drakensang: Phileasson's Secret             ,Role-Playing    ,2011
Drakensang: The Dark Eye                    ,Role-Playing    ,2009
Drakensang: The River of Time               ,Role-Playing    ,2011
DRAKERZ-Confrontation                       ,Misc            ,2014
Drakkhen                                    ,Role-Playing    ,1990
Drakkhen                                    ,Role-Playing    ,1991
Drama Queens                                ,Misc            ,2009
Dramatic Dungeon: Sakura Wars - Kimi Arugata,Role-Playing    ,2008
Dramatic Soccer Game: Nippon Daihyou Senshu ,Sports          ,2002
Dramatical Murder Re:code                   ,Misc            ,2014
Draw                                        ,Misc            ,2009
Draw a Stickman: EPIC                       ,Adventure       ,2013
Draw a Stickman: EPIC 2                     ,Adventure       ,2015
Draw Slasher: Prologue                      ,Misc            ,2013
Draw Something                              ,Misc            ,2012
Drawn to Life                               ,Adventure       ,2007
Drawn to Life (JP sales)                    ,Adventure       ,2007
Drawn to Life Collection                    ,Misc            ,2010
Drawn To Life: SpongeBob SquarePants Edition,Adventure       ,2008
Drawn to Life: The Next Chapter             ,Adventure       ,2009
Drawn to Life: The Next Chapter             ,Puzzle          ,2009
Drayt Empire                                ,Role-Playing    ,2016
DreadOut                                    ,Adventure       ,2009
Dream Audition                              ,Misc            ,2000
Dream Audition 2                            ,Misc            ,2000
Dream Audition 3                            ,Misc            ,2001
Dream Audition Super Hit Disc 1             ,Misc            ,2001
Dream Audition Super Hit Disc 2             ,Misc            ,2001
Dream C Club                                ,Simulation      ,2009
Dream C Club                                ,Misc            ,2012
Dream C Club Portable                       ,Simulation      ,2010
Dream C Club Zero                           ,Simulation      ,2011
Dream C Club Zero                           ,Misc            ,2013
Dream C Club: GoGo                          ,Misc            ,2014
Dream Chronicles                            ,Adventure       ,2007
Dream Chronicles                            ,Adventure       ,2010
Dream Chronicles 2: The Eternal Maze        ,Adventure       ,2008
Dream Chronicles: The Chosen Child          ,Adventure       ,2009
Dream Club Zero                             ,Simulation      ,2011
Dream Club Zero Portable                    ,Simulation      ,2011
Dream Daddy: A Dad Dating Simulator         ,Simulation      ,2009
Dream Dance & Cheer                         ,Misc            ,2009
Dream Dancer                                ,Misc            ,2004
Dream Day: Wedding Destinations             ,Simulation      ,2009
Dream Girl Premier                          ,Misc            ,2015
Dream League Soccer                         ,Misc            ,2013
Dream Management                            ,Fighting        ,2003
Dream Master                                ,Role-Playing    ,1992
Dream Passport                              ,Misc            ,1998
Dream Pinball 3D                            ,Misc            ,2008
Dream Salon                                 ,Misc            ,2009
Dream Salon                                 ,Simulation      ,2009
Dream Studio                                ,Adventure       ,2000
Dream Trigger 3D                            ,Shooter         ,2011
Dreamcast Collection                        ,Misc            ,2011
DreamCast Generator Vol.2                   ,Misc            ,2000
Dreamer Series: Babysitter                  ,Simulation      ,2009
Dreamer Series: Horse Trainer               ,Simulation      ,2008
Dreamer Series: Pop Star                    ,Misc            ,2009
Dreamer Series: Puppy Trainer               ,Simulation      ,2008
Dreamer Series: Shop Owner                  ,Simulation      ,2009
Dreamer Series: Teacher                     ,Simulation      ,2009
Dreamer Series: Top Model                   ,Simulation      ,2009
Dreamer Series: Zoo Keeper                  ,Simulation      ,2010
Dreamfall Chapters                          ,Misc            ,2014
Dreamfall: The Longest Journey              ,Adventure       ,2006
Dreamfall: The Longest Journey              ,Adventure       ,2008
DreamFlyer                                  ,Misc            ,1999
Dreaming Sarah                              ,Platform        ,1998
Dreamkiller                                 ,Shooter         ,2009
Dreamlords                                  ,Strategy        ,2007
Dreamlords - The Reawakening                ,Strategy        ,2008
Dreamlords: Resurrection                    ,Strategy        ,2011
DreamMix TV: World Fighters                 ,Fighting        ,2003
DreamOn Volume 1                            ,Misc            ,1999
DreamOn Volume 2                            ,Misc            ,2000
Dreams of Witchtown                         ,Role-Playing    ,2010
Dreams to Reality                           ,Action          ,1997
Dreamwalker                                 ,Puzzle          ,2011
Dreamworks 2-in-1 Party Pack                ,Misc            ,2010
Dreamworks Madagascar Kartz                 ,Racing          ,2009
DreamWorks Super Star Kartz                 ,Racing          ,2011
Dress To Play: Cute Witches!                ,Misc            ,2012
Drift                                       ,Misc            ,2008
Drift King Shutokou Battle '94              ,Racing          ,1994
Drift Street International                  ,Racing          ,2010
Drifter: A Space Trading Game               ,Simulation      ,2014
DRiiFT Mania                                ,Racing          ,2009
Drill Dozer                                 ,Platform        ,2006
Drill Sergeant Mindstrong                   ,Puzzle          ,2009
Drinkards                                   ,Misc            ,2009
Driv3r                                      ,Racing          ,2004
Driv3r                                      ,Racing          ,2005
Drive a Steam Train                         ,Simulation      ,2011
Drive to Survive                            ,Action          ,2006
Driveclub                                   ,Racing          ,2014
Driveclub Bikes                             ,Racing          ,2015
Driveclub VR                                ,Racing          ,2016
Driven                                      ,Racing          ,2001
Driven                                      ,Racing          ,2002
Driver                                      ,Action          ,1999
Driver                                      ,Action          ,2000
Driver                                      ,Action          ,2008
Driver '76                                  ,Racing          ,2007
Driver '76                                  ,Racing          ,2009
Driver 2                                    ,Action          ,2000
Driver 2 Advance                            ,Action          ,2002
Driver: Parallel Lines                      ,Racing          ,2006
Driver: Parallel Lines                      ,Racing          ,2007
Driver: Renegade                            ,Racing          ,2011
Driver: San Francisco                       ,Racing          ,2011
Drivers Ed Portable                         ,Misc            ,2008
Driving Emotion Type-S                      ,Racing          ,2001
Driving Simulator                           ,Racing          ,2010
Driving Simulator 2011                      ,Racing          ,2011
Driving Theory Training                     ,Misc            ,2008
Driving Theory Training 2009/2010 Edition   ,Misc            ,2009
DROD RPG: Tendry's Tale                     ,Puzzle          ,2008
DROD: Deadly Rooms of Death                 ,Puzzle          ,1997
DROD: Journey to Rooted Hold                ,Puzzle          ,2005
DROD: King Dugan's Dungeon                  ,Puzzle          ,2005
DROD: The City Beneath                      ,Puzzle          ,2007
DROD: The Second Sky                        ,Puzzle          ,2014
Droid Assault                               ,Action          ,2008
Drome Racers                                ,Racing          ,2002
Drome Racers                                ,Racing          ,2003
Dromedary                                   ,Action          ,2009
Drone Tactics                               ,Strategy        ,2008
Droopy's Tennis Open                        ,Sports          ,2002
Drop Off                                    ,Puzzle          ,1990
Drop Off                                    ,Puzzle          ,2007
Drop Zone                                   ,Action          ,2009
Drop Zone: Under Fire                       ,Misc            ,2012
DropCast                                    ,Puzzle          ,2008
Droplitz                                    ,Puzzle          ,2009
Dropship: United Peace Force                ,Simulation      ,2002
Dropzone                                    ,Shooter         ,1992
Dropzone                                    ,Shooter         ,1994
Dropzone (GBC)                              ,Shooter         ,1999
Drox Operative                              ,Misc            ,2012
Druaga no Tou: The Recovery of Babylim      ,Role-Playing    ,2009
Drug Wars                                   ,Shooter         ,1994
Drum XPlosion                               ,Misc            ,2009
DrumKit                                     ,Misc            ,2009
DrumMania                                   ,Simulation      ,2000
DrumMania 7th Mix                           ,Simulation      ,2002
Drums Challenge                             ,Misc            ,2011
Drumskulls                                  ,Shooter         ,2011
DS Bimoji Training                          ,Misc            ,2008
DS Bungaku Zenshuu                          ,Misc            ,2007
DS Calorie Navi                             ,Misc            ,2007
DS de Yomu Series: Tezuka Osamu Hi no Tori 1,Misc            ,2008
DS de Yomu Series: Tezuka Osamu Hi no Tori 2,Misc            ,2008
DS de Yomu Series: Tezuka Osamu Hi no Tori 3,Misc            ,2008
DS Dengeki Bunko ADV: Baccano!              ,Adventure       ,2008
DS Dengeki Bunko: Alison                    ,Puzzle          ,2006
DS Dengeki Bunko: Inukami! feat. Animation  ,Adventure       ,2006
"DS Dengeki Bunko: Iria no Sora, UFO no Natsu",Adventure       ,2007
"DS Dengeki Bunko: Iria no Sora, UFO no Natsu",Adventure       ,2007
"DS Dengeki Bunko: Iria no Sora, UFO no Natsu",Adventure       ,2007
DS Kageyama Method: Dennou Hanpuku - Chiri -,Misc            ,2010
DS Kageyama Method: Dennou Hanpuku - Masu x ,Misc            ,2006
DS Kageyama Method: Dennou Hanpuku - Tadashi,Misc            ,2007
DS Kageyama Method: Tadashii Kanji Kakitori-,Misc            ,2007
DS Kokoro Nurie                             ,Misc            ,2010
DS Motte Tabi ni Deyo: Kyoto                ,Misc            ,2008
DS Nishimura Kyotaro Suspense 2 Shin Tantei ,Adventure       ,2008
DS Nishimura Kyotaro Suspense Shin Tantei Se,Adventure       ,2007
DS Pico Series: Sanrio no Party Heikou! Oryo,Misc            ,2008
DS Puzzler: Numpla Fan & Oekaki Logic       ,Puzzle          ,2006
DS Puzzler: Numpla Fan & Oekaki Logic Wi-Fi ,Puzzle          ,2007
DS Rakubiki Jiten                           ,Misc            ,2005
DS Toukemuri Suspense Series: Free Writer To,Adventure       ,2008
DS Uranai Seikatsu                          ,Misc            ,2009
DS Yamamura Misa Suspense: Maiko Kogiku - Ki,Adventure       ,2008
DS-Pico Series: Sanrio Puro Land - Waku Waku,Action          ,2010
DS:Style Series: Anata Dake no Private Lesso,Sports          ,2007
DS:Style Series: Anata mo DS de Classic Kiit,Misc            ,2007
DS:Style Series: Chikyuu no Arukikata DS - F,Misc            ,2007
DS:Style Series: Chikyuu no Arukikata DS - H,Misc            ,2007
DS:Style Series: Chikyuu no Arukikata DS - H,Misc            ,2007
DS:Style Series: Chikyuu no Arukikata DS - I,Misc            ,2007
DS:Style Series: Chikyuu no Arukikata DS - I,Misc            ,2007
DS:Style Series: Chikyuu no Arukikata DS - N,Misc            ,2007
DS:Style Series: Chikyuu no Arukikata DS - S,Misc            ,2007
DS:Style Series: Chikyuu no Arukikata DS - S,Misc            ,2007
