Name,Genre,Year
1701 A.D.: The Curse of the Dragon          ,Simulation      ,2007
18 Card Games                               ,Misc            ,2010
18 Wheeler: American Pro Trucker            ,Racing          ,2001
18 Wheeler: American Pro Trucker            ,Racing          ,2002
18 Wheels of Steel: Across America          ,Racing          ,2003
18 Wheels of Steel: American Long Haul      ,Racing          ,2007
18 Wheels of Steel: Big City Rigs           ,Racing          ,2009
18 Wheels of Steel: Convoy                  ,Racing          ,2005
18 Wheels of Steel: Extreme Trucker         ,Racing          ,2009
18 Wheels of Steel: Extreme Trucker 2       ,Racing          ,2011
18 Wheels of Steel: Gold Edition            ,Racing          ,2009
18 Wheels of Steel: Haulin'                 ,Racing          ,2006
18 Wheels of Steel: Pedal to the Metal      ,Racing          ,2004
18 Wheels of Steel: Triple Pack             ,Racing          ,2011
1830: Railroads & Robber Barons             ,Simulation      ,1995
1849                                        ,Misc            ,2014
1869                                        ,Simulation      ,1992
187: Ride or Die                            ,Racing          ,2005
18th Gate                                   ,Misc            ,2012
1914: Shells of Fury                        ,Simulation      ,2007
1914: The Great War                         ,Strategy        ,2002
1941: Counter Attack                        ,Shooter         ,1991
1942                                        ,Shooter         ,1986
1942                                        ,Shooter         ,2000
1942 (Arcade)                               ,Shooter         ,2011
1942: Joint Strike                          ,Shooter         ,2008
1942: The Pacific Air War                   ,Simulation      ,1994
1943 Kai                                    ,Shooter         ,1991
1943: The Battle of Midway                  ,Shooter         ,1988
1950s Lawn Mower Kids                       ,Action          ,2011
1954: Alcatraz                              ,Adventure       ,2014
19:03 Ueno Hatsu Yakou Ressha               ,Adventure       ,1999
1nsane                                      ,Racing          ,2001
1Path                                       ,Misc            ,2014
2 Fast 4 Gnomz                              ,Misc            ,2012
2 Games in 1 Double Pack: Finding Nemo / Mon,Misc            ,2005
2 Games in 1 Double Pack: Finding Nemo / Mon,Misc            ,2013
2 Games in 1 Double Pack: Hot Wheels Velocit,Racing          ,2005
2 Games in 1 Double Pack: Scooby-Doo and the,Misc            ,2005
2 Games in 1 Double Pack: The Incredibles / ,Action          ,2007
2 Games in 1: Columns Crown & ChuChu Rocket!,Puzzle          ,2005
2 Games in 1: Disney Princess & The Lion Kin,Misc            ,2004
2 Games in 1: Disney's Brother Bear / The Li,Action          ,2005
2 Games in 1: Finding Nemo & Finding Nemo: T,Action          ,2005
2 Games in 1: GT 3 Advance: Pro Concept Raci,Sports          ,2004
2 Games in 1: LEGO Knights' Kingdom + Bionic,Action          ,2005
2 Games in 1: Sonic Advance & ChuChu Rocket!,Misc            ,2005
2 Games in 1: Sonic Advance & Sonic Battle  ,Misc            ,2005
2 Games in 1: Sonic Battle & ChuChu Rocket! ,Misc            ,2005
2 Games in 1: Sonic Pinball Party & Columns ,Misc            ,2005
2 Games in 1: Sonic Pinball Party & Sonic Ba,Misc            ,2006
2 Games in 1: SpongeBob SquarePants: SuperSp,Platform        ,2005
2 Games in 1: SpongeBob SquarePants: SuperSp,Misc            ,2014
2 Games in 1: The Incredibles + Finding Nemo,Misc            ,2006
2 Games in 1: The Incredibles + Finding Nemo,Misc            ,2011
2 Games in 1: The SpongeBob SquarePants Movi,Platform        ,2006
2 Games in 1: The SpongeBob SquarePants Movi,Platform        ,2006
2 in 1 Combo Pack: Sonic Heroes / Super Monk,Misc            ,2005
2 in 1 Combo Pack: Sonic Heroes / Super Monk,Misc            ,2013
2 in 1 Combo Pack: Sonic Mega Collection Plu,Misc            ,2005
2-for-1 Power Pack: Winter Blast/Summer Spor,Sports          ,2010
2-in-1 Game Pack: Spider-Man & Spider-Man 2 ,Platform        ,2005
20-Seiki Alice                              ,Adventure       ,2000
2002 FIFA World Cup                         ,Sports          ,2002
200V Challenge Spirit Mahjong               ,Misc            ,2009
2010 FIFA World Cup South Africa            ,Sports          ,2010
2014 FIFA World Cup Brazil                  ,Sports          ,2014
2048                                        ,Puzzle          ,2014
2060 Cyber Racer                            ,Racing          ,2009
2064: Read Only Memories                    ,Adventure       ,2015
20Q                                         ,Misc            ,2011
20th Century Video Almanac                  ,Misc            ,1993
21 Emon: Mezase! Hotel Ou                   ,Misc            ,1994
2176 Supernova Storm                        ,Shooter         ,2009
21: Blackjack                               ,Misc            ,2010
21: TwoOne                                  ,Adventure       ,2001
221 B Baker St.                             ,Adventure       ,1986
2400 A.D.                                   ,Adventure       ,1987
24: The Game                                ,Adventure       ,2006
25 To Life                                  ,Shooter         ,2006
250 Mannin no KanKen: Wii de Tokoton Kanji N,Misc            ,2008
